form	lemma	pos	context	meaning
Ἄνδρα	ἀνήρ	noun	I.1: Ἄνδρα μοι ἔννεπε, μοῦσα…	άντρας (αιτιατική ενικού του ἀνήρ)
ἔγνω	γιγνώσκω	verb	I.3: …νόον ἔγνω	έμαθε, γνώρισε (ενεργητικός αόριστος του γιγνώσκω)
ἱέμενός	ἵημι	verb	I.6: …ἐρρύσατο, ἱέμενός περ	μετοχή αρσενικού γένους, μέσης φωνής, του ἵημι — ενεργητική σημασία: αφήνω, στέλνω· μέση σημασία: σπεύδω, επιδιώκω
θεά	θεός	noun	I.10: …τῶν ἁμόθεν γε, θεά, θύγατερ Διός	θεά
Διός	Ζεύς	noun	I.10: …θύγατερ Διός, εἰπὲ καὶ ἡμῖν	του Δία (γενική του Ζεύς)
εἶναι	εἰμί	verb	I.15: …λιλαιομένη πόσιν εἶναι	απαρέμφατο του εἰμί· εδώ, μέρος της σύνταξης «να είναι»
ἔτος	ἔτος	noun	I.16: ἀλλ' ὅτε δὴ ἔτος ἦλθε…	έτος, χρόνος
θεοὶ	θεός	noun	I.17: …ἐπεκλώσαντο θεοὶ οἰκόνδε νέεσθαι	θεοί (πληθυντικός του θεός)
ἀνθρώπων	ἄνθρωπος	noun	I.3: πολλῶν δ' ἀνθρώπων ἴδεν ἄστεα…	ανθρώπων (γενική πληθυντικού του ἄνθρωπος)
πόντῳ	πόντος	noun	I.4: …ἐν πόντῳ πάθεν ἄλγεα…	θάλασσα (δοτική του πόντος)
ἦμαρ	ἦμαρ	noun	I.10: …ἀφείλετο νόστιμον ἦμαρ	ημέρα
θύγατερ	θυγάτηρ	noun	I.10: …θεά, θύγατερ Διός	κόρη (κλητική του θυγάτηρ)
ὄλεθρον	ὄλεθρος	noun	I.11: …ὅσοι φύγον αἰπὺν ὄλεθρον	όλεθρος, καταστροφή (αιτιατική του ὄλεθρος)
γυναικὸς	γυνή	noun	I.13: …νόστου κεχρημένον ἠδὲ γυναικὸς	γυναίκας (γενική του γυνή)
νύμφη	νύμφη	noun	I.14: νύμφη πόντι' ἔρυκε Καλυψώ…	νύμφη
σπέσσι	σπέος	noun	I.15: ἐν σπέσσι γλαφυροῖσι…	σπηλιές (δοτική πληθυντικού του σπέος)
ἄστεα	ἄστυ	noun	I.3: πολλῶν δ᾿ ἀνθρώπων ἴδεν ἄστεα	πόλεις (αιτιατική πληθυντικού του ἄστυ)
ψυχήν	ψυχή	noun	I.5: …ψυχὴν καὶ νόστον ἑταίρων	ψυχή (αιτιατική του ψυχή)
πλάγχθη	πλάζω	verb	I.2: πλάγχθη, ἐπεὶ Τροίης ἱερὸν πτολίεθρον ἔπερσεν	περιπλανήθηκε (παθητικός αόριστος του πλάζω, «παρασύρω, βγάζω από τον δρόμο»)
ἴδεν	ὁράω	verb	I.3: πολλῶν δ᾿ ἀνθρώπων ἴδεν ἄστεα	είδε (ενεργητικός αόριστος· στον ενεστώτα χρησιμοποιείται το ὁράω)
πάθεν	πάσχω	verb	I.4: ἐν πόντῳ πάθεν ἄλγεα	υπέφερε, δοκίμασε (ενεργητικός αόριστος του πάσχω)
ὄλοντο	ἀπόλλυμι	verb	I.7: σφετέρῃσιν ἀτασθαλίῃσιν ὄλοντο	χάθηκαν, αφανίστηκαν (μέσος αόριστος του ὄλλυμι, «καταστρέφω»)
φύγον	φεύγω	verb	I.11: ὅσοι φύγον αἰπὺν ὄλεθρον	απέφυγαν, γλίτωσαν (ενεργητικός αόριστος του φεύγω)
ἐπεκλώσαντο	ἐπικλώθω	verb	I.17: ἐπεκλώσαντο θεοὶ οἰκόνδε νέεσθαι	μοίρασαν, όρισαν ως πεπρωμένο (μέσος αόριστος του ἐπικλώθω, «κλώθω» — δηλ. κλώθω το νήμα της μοίρας, ορίζω ως πεπρωμένο)
ἱκέσθαι	ἱκνέομαι	verb	I.21: …πάρος ἣν γαῖαν ἱκέσθαι	να φτάσει, να έρθει (απαρέμφατο αορίστου του ἱκνέομαι)
ἔννεπε	ἐνέπω	verb	I.1: Ἄνδρα μοι ἔννεπε, μοῦσα	πες, αφηγήσου (προστακτική του ἐννέπω)
πολύτροπον	πολύτροπος	adj	I.1: ἔννεπε, μοῦσα, πολύτροπον	πολύ «πολύ» + τρόπος (από το τρέπω «στρέφω») «κατεύθυνση, τρόπος» → «πολυπερίπλανος» / «πολυμήχανος, τετραπέρατος». Αιτιατική ενικού.
ἱερόν	ἱερός	adj	I.2: Τροίης ἱερὸν πτολίεθρον ἔπερσεν	ουδέτερο γένος του ἱερός, «ιερός»
πτολίεθρον	πτολίεθρον	noun	I.2: Τροίης ἱερὸν πτολίεθρον ἔπερσεν	επικός τύπος της λέξης πόλις, «πόλη»
ἔπερσεν	πέρθω	verb	I.2: Τροίης ἱερὸν πτολίεθρον ἔπερσεν	κατέστρεψε, λεηλάτησε (ενεργητικός αόριστος του πέρθω)
νόον	νοῦς	noun	I.3: καὶ νόον ἔγνω	νου (αιτιατική ενικού του νόος)
ἄλγεα	ἄλγος	noun	I.4: ἐν πόντῳ πάθεν ἄλγεα	πόνοι, βάσανα (πληθυντικός του ἄλγος)
θυμόν	θυμός	noun	I.4: πάθεν ἄλγεα ὃν κατὰ θυμόν	θυμός, ψυχή (αιτιατική του θυμός)
νόστον	νόστος	noun	I.5: ψυχὴν καὶ νόστον ἑταίρων	επιστροφή, νόστος (αιτιατική του νόστος)
ἑταίρων	ἑταῖρος	noun	I.5: ψυχὴν καὶ νόστον ἑταίρων	συντρόφων (γενική πληθυντικού του ἑταῖρος)
ἑτάρους	ἑταῖρος	noun	I.6: ἀλλ' οὐδ' ὣς ἑτάρους ἐρρύσατο	= ἑταίρους (αιτιατική πληθυντικού)
ἀρνύμενος	ἄρνυμαι	verb	I.5: ἀρνύμενος ἥν τε ψυχὴν καὶ νόστον	μετοχή αρσενικού γένους, ονομαστικής, του ἄρνυμαι, «αγωνίζομαι για κάτι, κερδίζω, αποκτώ»
ἐρρύσατο	ῥύομαι	verb	I.6: ἀλλ' οὐδ' ὣς ἑτάρους ἐρρύσατο	έσωσε, γλίτωσε (μέσος αόριστος του ῥύομαι)
ἀτασθαλίῃσιν	ἀτασθαλία	noun	I.7: σφετέρῃσιν ἀτασθαλίῃσιν ὄλοντο	δοτική πληθυντικού του ἀτασθαλία, «απερισκεψία, αλαζονική ανοησία, αμάρτημα αλαζονείας»
νήπιοι	νήπιος	adj	I.8: νήπιοι, οἳ κατὰ βοῦς Ὑπερίονος	ανόητοι (πληθυντικός αρσενικού του νήπιος «βρέφος, ανόητος», κυριολεκτικά «άφωνος, αυτός που δεν μιλά»)
βοῦς	βοῦς	noun	I.8: οἳ κατὰ βοῦς Ὑπερίονος Ἠελίοιο	βόδια (αιτιατική πληθυντικού του βοῦς)
ἤσθιον	ἐσθίω	verb	I.9: ἤσθιον· αὐτὰρ ὁ τοῖσιν	έτρωγαν (παρατατικός του ἐσθίω)
