form	lemma	pos	context	meaning
Ἄνδρα	ἀνήρ	noun	I.1: Ἄνδρα μοι ἔννεπε, μοῦσα…	man (accusative singular of ἀνήρ)
ἔγνω	γιγνώσκω	verb	I.3: …νόον ἔγνω	learned, came to know (active aorist of γιγνώσκω)
ἱέμενός	ἵημι	verb	I.6: …ἐρρύσατο, ἱέμενός περ	masculine participle, middle voice, of ἵημι — active sense: to let go, send; middle sense: to hasten, strive
θεά	θεός	noun	I.10: …τῶν ἁμόθεν γε, θεά, θύγατερ Διός	goddess
Διός	Ζεύς	noun	I.10: …θύγατερ Διός, εἰπὲ καὶ ἡμῖν	of Zeus (genitive of Ζεύς)
εἶναι	εἰμί	verb	I.15: …λιλαιομένη πόσιν εἶναι	"infinitive of εἰμί; here, part of the construction ""that he might be"""
ἔτος	ἔτος	noun	I.16: ἀλλ' ὅτε δὴ ἔτος ἦλθε…	year
θεοὶ	θεός	noun	I.17: …ἐπεκλώσαντο θεοὶ οἰκόνδε νέεσθαι	gods (plural of θεός)
ἀνθρώπων	ἄνθρωπος	noun	I.3: πολλῶν δ' ἀνθρώπων ἴδεν ἄστεα…	of people (genitive plural of ἄνθρωπος)
πόντῳ	πόντος	noun	I.4: …ἐν πόντῳ πάθεν ἄλγεα…	sea (dative of πόντος)
ἦμαρ	ἦμαρ	noun	I.10: …ἀφείλετο νόστιμον ἦμαρ	day
θύγατερ	θυγάτηρ	noun	I.10: …θεά, θύγατερ Διός	daughter (vocative of θυγάτηρ)
ὄλεθρον	ὄλεθρος	noun	I.11: …ὅσοι φύγον αἰπὺν ὄλεθρον	destruction, doom (accusative of ὄλεθρος)
γυναικὸς	γυνή	noun	I.13: …νόστου κεχρημένον ἠδὲ γυναικὸς	of his wife (genitive of γυνή)
νύμφη	νύμφη	noun	I.14: νύμφη πόντι' ἔρυκε Καλυψώ…	nymph
σπέσσι	σπέος	noun	I.15: ἐν σπέσσι γλαφυροῖσι…	caves (dative plural of σπέος)
ἄστεα	ἄστυ	noun	I.3: πολλῶν δ᾿ ἀνθρώπων ἴδεν ἄστεα	cities (accusative plural of ἄστυ)
ψυχήν	ψυχή	noun	I.5: …ψυχὴν καὶ νόστον ἑταίρων	soul, life (accusative of ψυχή)
πλάγχθη	πλάζω	verb	I.2: πλάγχθη, ἐπεὶ Τροίης ἱερὸν πτολίεθρον ἔπερσεν	"wandered (aorist passive of πλάζω, ""to drive off course, lead astray"")"
ἴδεν	ὁράω	verb	I.3: πολλῶν δ᾿ ἀνθρώπων ἴδεν ἄστεα	saw (active aorist; present tense uses ὁράω)
πάθεν	πάσχω	verb	I.4: ἐν πόντῳ πάθεν ἄλγεα	suffered, endured (active aorist of πάσχω)
ὄλοντο	ἀπόλλυμι	verb	I.7: σφετέρῃσιν ἀτασθαλίῃσιν ὄλοντο	"perished (middle aorist of ὄλλυμι, ""to destroy"")"
φύγον	φεύγω	verb	I.11: ὅσοι φύγον αἰπὺν ὄλεθρον	escaped, avoided (active aorist of φεύγω)
ἐπεκλώσαντο	ἐπικλώθω	verb	I.17: ἐπεκλώσαντο θεοὶ οἰκόνδε νέεσθαι	"allotted, ordained (middle aorist of ἐπικλώθω, ""to spin"" — i.e. to spin the thread of fate, to allot)"
ἱκέσθαι	ἱκνέομαι	verb	I.21: …πάρος ἣν γαῖαν ἱκέσθαι	to arrive, come (aorist infinitive of ἱκνέομαι)
ἔννεπε	ἐνέπω	verb	I.1: Ἄνδρα μοι ἔννεπε, μοῦσα	tell, relate (imperative of ἐννέπω)
πολύτροπον	πολύτροπος	adj	I.1: ἔννεπε, μοῦσα, πολύτροπον	"πολύ ""much"" + τρόπος (""way, manner,"" from τρέπω ""to turn"") → ""much-wandering"" / ""versatile, resourceful, cunning."" Accusative singular."
ἱερόν	ἱερός	adj	I.2: Τροίης ἱερὸν πτολίεθρον ἔπερσεν	"neuter of ἱερός, ""sacred, holy"""
πτολίεθρον	πτολίεθρον	noun	I.2: Τροίης ἱερὸν πτολίεθρον ἔπερσεν	"epic form of πόλις, ""city"""
ἔπερσεν	πέρθω	verb	I.2: Τροίης ἱερὸν πτολίεθρον ἔπερσεν	destroyed, sacked (active aorist of πέρθω)
νόον	νοῦς	noun	I.3: καὶ νόον ἔγνω	mind (accusative singular of νόος)
ἄλγεα	ἄλγος	noun	I.4: ἐν πόντῳ πάθεν ἄλγεα	pains, sufferings (plural of ἄλγος)
θυμόν	θυμός	noun	I.4: πάθεν ἄλγεα ὃν κατὰ θυμόν	heart, spirit (accusative of θυμός)
νόστον	νόστος	noun	I.5: ψυχὴν καὶ νόστον ἑταίρων	return, homecoming (accusative of νόστος)
ἑταίρων	ἑταῖρος	noun	I.5: ψυχὴν καὶ νόστον ἑταίρων	comrades (genitive plural of ἑταῖρος)
ἑτάρους	ἑταῖρος	noun	I.6: ἀλλ' οὐδ' ὣς ἑτάρους ἐρρύσατο	= ἑταίρους (accusative plural)
ἀρνύμενος	ἄρνυμαι	verb	I.5: ἀρνύμενος ἥν τε ψυχὴν καὶ νόστον	"masculine nominative participle of ἄρνυμαι, ""to strive for, win, earn"""
ἐρρύσατο	ῥύομαι	verb	I.6: ἀλλ' οὐδ' ὣς ἑτάρους ἐρρύσατο	saved, rescued (middle aorist of ῥύομαι)
ἀτασθαλίῃσιν	ἀτασθαλία	noun	I.7: σφετέρῃσιν ἀτασθαλίῃσιν ὄλοντο	"dative plural of ἀτασθαλία, ""recklessness, wanton folly, presumptuous wrongdoing"""
νήπιοι	νήπιος	adj	I.8: νήπιοι, οἳ κατὰ βοῦς Ὑπερίονος	"foolish, unwise ones (masculine plural of νήπιος, ""infant, foolish,"" literally ""not speaking"")"
βοῦς	βοῦς	noun	I.8: οἳ κατὰ βοῦς Ὑπερίονος Ἠελίοιο	cattle, oxen (accusative plural of βοῦς)
ἤσθιον	ἐσθίω	verb	I.9: ἤσθιον· αὐτὰρ ὁ τοῖσιν	were eating (imperfect of ἐσθίω)
ἀφείλετο	ἀφαιρέω	verb	I.9: τοῖσιν ἀφείλετο νόστιμον ἦμαρ	"was taken away (middle aorist of ἀφαιρέω, ""to take away"")"
νόστιμον	νόστιμος	adj	I.9: ἀφείλετο νόστιμον ἦμαρ	"""of return"" (cf. νόστος, ""return"")"
αἰπύν	αἰπύς	adj	I.11: ὅσοι φύγον αἰπὺν ὄλεθρον	"sudden, sheer (accusative of αἰπύς, ""steep, sheer, sudden, violent"")"
πόλεμον	πόλεμος	noun	I.12: πόλεμόν τε πεφευγότες ἠδὲ θάλασσαν	war (accusative of πόλεμος)
θάλασσαν	θάλασσα	noun	I.12: πόλεμόν τε πεφευγότες ἠδὲ θάλασσαν	sea (accusative of θάλασσα)
κεχρημένον	χράομαι	verb	I.13: τὸν δ' οἶον, νόστου κεχρημένον	"deprived, in need of (perfect participle of χράομαι, here ""to need"")"
ἔρυκε	ἐρύκω	verb	I.14: νύμφη πόντι' ἔρυκε Καλυψώ	"was holding, kept (imperfect of ἐρύκω, ""to hold back, detain"")"
θεάων	θεά	noun	I.14: δῖα θεάων	of goddesses (genitive plural of θεά)
γλαφυροῖσι	γλαφυρός	adj	I.15: ἐν σπέσσι γλαφυροῖσι	"hollow (dative plural of γλαφυρός, ""hollowed out, hollow, deep"")"
λιλαιομένη	λιλαίομαι	verb	I.15: λιλαιομένη πόσιν εἶναι	"longing, yearning (feminine participle of λιλαίομαι, ""to long for, yearn"")"
πόσιν	πόσις	noun	I.15: λιλαιομένη πόσιν εἶναι	husband (accusative of πόσις)
ἦλθε	ἔρχομαι	verb	I.16: ἀλλ' ὅτε δὴ ἔτος ἦλθε	came (active aorist of ἔρχομαι)
περιπλομένων	περιπέλομαι	verb	I.16: ἔτος ἦλθε περιπλομένων ἐνιαυτῶν	"genitive plural of the present participle of περιπέλομαι, ""to revolve, go round""; here part of a construction meaning ""as [the years] revolved/turned"""
ἐνιαυτῶν	ἐνιαυτός	noun	I.16: περιπλομένων ἐνιαυτῶν	"of the years (genitive plural of ἐνιαυτός, ""a long span of time, cycle, year"")"
νέεσθαι	νέομαι	verb	I.17: ἐπεκλώσαντο θεοὶ οἰκόνδε νέεσθαι	to go, to return (infinitive of νέομαι)
ἀέθλων	ἄεθλος	noun	I.18: οὐδ' ἔνθα πεφυγμένος ἦεν ἀέθλων	"of trials, contests (genitive plural of ἆθλον, ""contest, struggle, trial"")"
φίλοισι	φίλος	adj	I.19: καὶ μετ' ἀθανάτοισι φίλοισι	friends (dative plural of φίλος)
ἐλέαιρον	ἐλεαίρω	verb	I.19: θεοὶ δ' ἐλέαιρον ἅπαντες	were merciful, pitied (imperfect of ἐλεαίρω)
μενέαινεν	μενεαίνω	verb	I.20: ὁ δ' ἀσπερχὲς μενέαινεν	"was angry, raged (imperfect of μενεαίνω, ""to be angry, rage"")"
