form	lemma	pos	context	meaning
δόλοισιν	δόλος	noun	IX.19: …πᾶσι δόλοισιν ἀνθρώποισι μέλω	τεχνάσματα, πανουργίες (δοτική πληθυντικού του δόλος)
ἀνθρώποισι	ἄνθρωπος	noun	IX.20: ἀνθρώποισι μέλω…	ανθρώποις (δοτική πληθυντικού του ἄνθρωπος)
κλέος	κλέος	noun	IX.20: καί μευ κλέος οὐρανὸν ἵκει	δόξα, φήμη (ονομαστική ενικού ουδετέρου)
οὐρανόν	οὐρανός	noun	IX.20: κλέος οὐρανὸν ἵκει	ουρανού (αιτιατική ενικού του οὐρανός)
ὄρος	ὄρος	noun	IX.21: ἐν δ' ὄρος αὐτῇ Νήριτον	βουνό (ονομαστική ενικού ουδετέρου)
νῆσοι	νῆσος	noun	IX.22: ἀμφὶ δὲ νῆσοι πολλαί	νησιά
ζόφον	ζόφος	noun	IX.26: πρὸς ζόφον…	σκοτάδι, δύση (αιτιατική ενικού του ζόφος)
ἀγαθή	ἀγαθός	adj	IX.27: ἀλλ' ἀγαθὴ κουροτρόφος	ευλογημένη, καλή
γαίης	γαῖα	noun	IX.28: ἧς γαίης δύναμαι…	γης (γενική ενικού του γαῖα)
δύναμαι	δύναμαι	verb	IX.28: δύναμαι γλυκερώτερον ἄλλο ἰδέσθαι	μπορώ (α' ενικό ενεστώτα του δύναμαι)
ἔρυκε	ἐρύκω	verb	IX.29: ἦ μέν μ' αὐτόθ' ἔρυκε Καλυψώ	συγκρατούσε, καθυστερούσε (γ' ενικό παρατατικού του ἐρύκω)
θεάων	θεά	noun	IX.29: δῖα θεάων	των θεαινών (γενική πληθυντικού του θεά)
σπέσσι	σπέος	noun	IX.30: ἐν σπέσσι γλαφυροῖσι	σπηλιές (δοτική πληθυντικού του σπέος)
γλαφυροῖσι	γλαφυρός	adj	IX.30: σπέσσι γλαφυροῖσι	κοίλες, βαθιές
θυμόν	θυμός	noun	IX.33: ἐμὸν οὔποτε θυμὸν ἐνὶ στήθεσσιν	πνεύμα, καρδιά, έδρα του συναισθήματος, εσωτερική θέληση (αιτιατική ενικού του θυμός)
πατρίδος	πατρίς	noun	IX.34: γλύκιον ἧς πατρίδος	πατρίδας (γενική ενικού του πατρίς)
τοκήων	τοκεύς	noun	IX.34: …πατρίδος οὐδὲ τοκήων	γονέων (γενική πληθυντικού του τοκεύς)
νόστον	νόστος	noun	IX.37: νόστον ἐμὸν πολυκηδέ' ἐνίσπω	επιστροφή στην πατρίδα (αιτιατική ενικού του νόστος)
εἴμ᾽	εἰμί	verb	IX.19: εἴμ' Ὀδυσεὺς Λαερτιάδης	είμαι (α' ενικό ενεστώτα)
μέλω	μέλω	verb	IX.20: ἀνθρώποισι μέλω, καί μευ κλέος οὐρανὸν ἵκει	εδώ «είμαι γνωστός, απασχολώ τη σκέψη» (α' ενικό ενεστώτα του μέλω)
ἵκει	ἱκνέομαι	verb	IX.20: καί μευ κλέος οὐρανὸν ἵκει	φτάνει, έρχεται (γ' ενικό ενεστώτα του ἵκω)
ναιετάω	ναιετάω	verb	IX.21: ναιετάω δ' Ἰθάκην εὐδείελον	κατοικώ (α' ενικό ενεστώτα)
εὐδείελον	εὐδείελος	adj	IX.21: ναιετάω δ' Ἰθάκην εὐδείελον	ευδιάκριτη, ξεχωρίζει καθαρά (αιτιατική ενικού θηλυκού του εὐδείελος)
εἰνοσίφυλλον	εἰνοσίφυλλος	adj	IX.22: Νήριτον εἰνοσίφυλλον, ἀριπρεπές	φυλλοσειόμενο, με σειόμενα φύλλα (ονομαστική ενικού ουδετέρου)
ἀριπρεπές	ἀριπρεπής	adj	IX.23: Νήριτον εἰνοσίφυλλον, ἀριπρεπές	πολύ περίοπτο, ξεχωριστό (ονομαστική ενικού ουδετέρου)
ἀλλήλῃσι	ἀλλήλων	pronoun	IX.23: ναιετάουσι μάλα σχεδὸν ἀλλήλῃσι	η μία στην άλλη (δοτική πληθυντικού του ἀλλήλων)
ὑλήεσσα	ὑλήεις	adj	IX.24: καὶ ὑλήεσσα Ζάκυνθος	δασωμένη (ονομαστική ενικού θηλυκού του ὑλήεις)
χθαμαλή	χθαμαλός	adj	IX.25: αὐτὴ δὲ χθαμαλὴ πανυπερτάτη	χαμηλή (ονομαστική ενικού θηλυκού του χθαμαλός)
ἁλί	ἅλς	noun	IX.25: εἰν ἁλὶ κεῖται	θάλασσα, κυριολεκτικά «αλάτι» (δοτική ενικού του ἅλς)
κεῖται	κεῖμαι	verb	IX.25: εἰν ἁλὶ κεῖται	κείται, βρίσκεται (γ' ενικό ενεστώτα του κεῖμαι)
ἠῶ	ἠώς	noun	IX.26: πρὸς ἠῶ τ' ἠέλιόν τε	αυγή (αιτιατική ενικού του ἠώς)
ἠέλιον	ἠέλιος	noun	IX.26: πρὸς ἠῶ τ' ἠέλιόν τε	ήλιο (αιτιατική ενικού του ἠέλιος)
τρηχεῖ᾽	τρηχύς	adj	IX.27: τρηχεῖ', ἀλλ' ἀγαθὴ κουροτρόφος	τραχιά, ανώμαλη, πετρώδης (ονομαστική ενικού θηλυκού)
κουροτρόφος	κουροτρόφος	adj	IX.27: τρηχεῖ', ἀλλ' ἀγαθὴ κουροτρόφος	που ανατρέφει νέους, που θρέφει τη νεολαία (ονομαστική ενικού θηλυκού)
γλυκερώτερον	γλυκερός	adj	IX.28: δύναμαι γλυκερώτερον ἄλλο ἰδέσθαι	πιο γλυκό, πιο ευχάριστο (συγκριτικός βαθμός του γλυκερός)
ἰδέσθαι	ὁράω	verb	IX.28: δύναμαι γλυκερώτερον ἄλλο ἰδέσθαι	να δει (απαρέμφατο αορίστου του ὁράω, «βλέπω»)
λιλαιομένη	λιλαίομαι	verb	IX.30: λιλαιομένη πόσιν εἶναι	επιθυμώντας, λαχταρώντας (μετοχή ενεστώτα, μέσης φωνής, ονομαστικής ενικού θηλυκού του λιλαίομαι) + σύνταξη αιτιατικής με απαρέμφατο
πόσιν	πόσις	noun	IX.30: λιλαιομένη πόσιν εἶναι	σύζυγο (αιτιατική ενικού του πόσις)
εἶναι	εἰμί	verb	IX.30: λιλαιομένη πόσιν εἶναι	εδώ «να είναι» (απαρέμφατο του εἰμί)
κατερήτυεν	κατερητύω	verb	IX.31: Κίρκη κατερήτυεν ἐν μεγάροισιν	συγκρατούσε, καθυστερούσε (γ' ενικό παρατατικού του κατερητύω)
μεγάροισιν	μέγαρον	noun	IX.31: Κίρκη κατερήτυεν ἐν μεγάροισιν	μέγαρα, ανάκτορο (δοτική πληθυντικού του μέγαρον)
δολόεσσα	δολόεις	adj	IX.32: Αἰαίη, δολόεσσα	πονηρή, πολυμήχανη (ονομαστική ενικού θηλυκού)
στήθεσσιν	στῆθος	noun	IX.33: ἐμὸν οὔ ποτε θυμὸν ἐνὶ στήθεσσιν ἔπειθον	στήθη (δοτική πληθυντικού του στῆθος)
ἔπειθον	πείθω	verb	IX.33: ἐμὸν οὔ ποτε θυμὸν ἐνὶ στήθεσσιν ἔπειθον	έπειθαν, καθόριζαν τη γνώμη (γ' πληθυντικό παρατατικού του πείθω)
γλύκιον	γλυκύς	adj	IX.34: ὣς οὐδὲν γλύκιον ἧς πατρίδος	πιο γλυκό, πιο ευχάριστο (συγκριτικός βαθμός του γλυκύς)
γίγνεται	γίγνομαι	verb	IX.35: γίγνεται, εἴ περ τις καὶ ἀπόπροθι πίονα οἶκον	συμβαίνει, αποδεικνύεται, γίνεται (γ' ενικό ενεστώτα του γίγνομαι)
πίονα	πίων	adj	IX.35: εἴ περ τις καὶ ἀπόπροθι πίονα οἶκον	πλούσιος, εύφορος, παχύς (αιτιατική ενικού αρσενικού του πίων)
οἶκον	οἶκος	noun	IX.35: εἴ περ τις καὶ ἀπόπροθι πίονα οἶκον	σπίτι, νοικοκυριό, κτήμα (αιτιατική ενικού του οἶκος)
ἀλλοδαπῇ	ἀλλοδαπός	adj	IX.36: γαίῃ ἐν ἀλλοδαπῇ ναίει	ξένη, αλλοδαπή (δοτική ενικού θηλυκού του ἀλλοδαπός)
ναίει	ναίω	verb	IX.36: γαίῃ ἐν ἀλλοδαπῇ ναίει ἀπάνευθε τοκήων	κατοικεί (γ' ενικό ενεστώτα του ναίω)
πολυκηδέα	πολυκηδής	adj	IX.37: νόστον ἐμὸν πολυκηδέ' ἐνίσπω	πολυβασανισμένος
ἐνίσπω	ἐννέπω	verb	IX.37: νόστον ἐμὸν πολυκηδέ' ἐνίσπω	θα πω, θα αφηγηθώ (α' ενικό, υποτακτική)
ἐφέηκεν	ἐφίημι	verb	IX.38: ὅν μοι Ζεὺς ἐφέηκε κιόντι ἀπὸ Τροίηθεν	έστειλε, επέτρεψε, όρισε (αόριστος του ἐφίημι)
ἰόντι	εἶμι	verb	IX.38: ἐφέηκε κιόντι ἀπὸ Τροίηθεν	σε αυτόν που πηγαίνει, που αναχωρεί (δοτική ενικού μετοχής του εἶμι, «πηγαίνω»)
Ὀδυσεύς	Ὀδυσσεύς	name	IX.19: εἴμ' Ὀδυσεὺς Λαερτιάδης	Οδυσσέας (ονομαστική ενικού)
Λαερτιάδης	Λαερτιάδης	name	IX.19: εἴμ' Ὀδυσεὺς Λαερτιάδης	γιος του Λαέρτη (ονομαστική ενικού· το επίθημα -ίδης δηλώνει καταγωγή)
ὃς	ὅς	pronoun	IX.19: ὃς πᾶσι δόλοισιν ἀνθρώποισι μέλω	ο οποίος (αναφορική αντωνυμία, ονομαστική ενικού αρσενικού)
πᾶσι	πᾶς	adj	IX.19: ὃς πᾶσι δόλοισιν	σε όλους, με κάθε είδους (δοτική πληθυντικού του πᾶς, «όλος»)
καί	καί	conj	IX.20: καί μευ κλέος οὐρανὸν ἵκει	και
μευ	ἐγώ	pronoun	IX.20: καί μευ κλέος οὐρανὸν ἵκει	μου (γενική του ἐγώ)
δ᾽	δέ	particle	IX.21: ναιετάω δ' Ἰθάκην εὐδείελον	δε, αλλά
Ἰθάκην	Ἰθάκη	name	IX.21: ναιετάω δ' Ἰθάκην εὐδείελον	Ιθάκη (αιτιατική ενικού)
ἐν	ἐν	prep	IX.21: ἐν δ' ὄρος αὐτῇ Νήριτον	σε, μέσα σε
αὐτῇ	αὐτός	pronoun	IX.21: ἐν δ' ὄρος αὐτῇ Νήριτον	σε αυτή, πάνω της (δοτική ενικού του αὐτή)
Νήριτον	Νήριτος	name	IX.22: ἐν δ' ὄρος αὐτῇ Νήριτον εἰνοσίφυλλον	Νήριτον (ονομαστική ενικού· όνομα βουνού)
ἀμφί	ἀμφί	prep	IX.22: ἀμφὶ δὲ νῆσοι πολλαί	γύρω
πολλαί	πολύς	adj	IX.22: ἀμφὶ δὲ νῆσοι πολλαί	πολλές (ονομαστική πληθυντικού θηλυκού του πολύς)
ναιετάουσι	ναιετάω	verb	IX.22: πολλαὶ ναιετάουσι μάλα σχεδὸν	κατοικούνται, βρίσκονται κατοικημένες (γ' πληθυντικό ενεστώτα του ναιετάω)
μάλα	μάλα	adv	IX.23: ναιετάουσι μάλα σχεδὸν	πολύ
σχεδόν	σχεδόν	adv	IX.23: μάλα σχεδὸν ἀλλήλῃσι	κοντά
τε	τε	particle	IX.23: ἀλλήλῃσι τε καί	και
αὐτή	αὐτός	pronoun	IX.25: αὐτὴ δὲ χθαμαλὴ	η ίδια (ονομαστική ενικού θηλυκού του αὐτός)
πανυπερτάτη	πανυπέρτατος	adj	IX.25: αὐτὴ δὲ χθαμαλὴ πανυπερτάτη εἰν ἁλὶ κεῖται	η πιο απομακρυσμένη, η πιο ακραία (ονομαστική ενικού θηλυκού, υπερθετικός βαθμός)
εἰν	ἐν	prep	IX.25: εἰν ἁλὶ κεῖται	σε
πρός	πρός	prep	IX.26: πρὸς ζόφον ἠῶ τ' ἠέλιόν τε	προς
αἱ	ὅ	pronoun	IX.26: αἱ δ' ἄνευθε πρὸς ἠῶ	αυτές, εκείνες (ονομαστική πληθυντικού θηλυκού του άρθρου)
τ᾽	τε	particle	IX.26: ἠῶ τ' ἠέλιόν τε	και
ἄνευθε	ἄνευθε	adv	IX.26: αἱ δ' ἄνευθε πρὸς ἠῶ	μακριά, σε απόσταση (επίρρημα)
ἀλλ᾽	ἀλλά	conj	IX.27: τρηχεῖ', ἀλλ' ἀγαθὴ κουροτρόφος	αλλά
οὔ	οὐ	particle	IX.28: οὔ τοι ἐγώ γε ἧς γαίης	δεν
τοι	τοι	particle	IX.28: οὔ τοι ἐγώ γε ἧς γαίης	βέβαια, σίγουρα (επιτατικό μόριο)
ἐγώ	ἐγώ	pronoun	IX.28: οὔ τοι ἐγώ γε ἧς γαίης	εγώ
γε	γε	particle	IX.28: οὔ τοι ἐγώ γε ἧς γαίης	τουλάχιστον
ἧς	ὅς	pronoun	IX.28: ἧς γαίης δύναμαι	δική του (γενική ενικού θηλυκού της αναφορικής αντωνυμίας ὅς)
ἄλλο	ἄλλος	adj	IX.28: δύναμαι γλυκερώτερον ἄλλο ἰδέσθαι	άλλο (αιτιατική ενικού ουδετέρου του ἄλλος)
ἦ	ἦ	particle	IX.29: ἦ μέν μ' αὐτόθ' ἔρυκε	πράγματι, αλήθεια
μέν	μέν	particle	IX.29: ἦ μέν μ' αὐτόθ' ἔρυκε	μόριο που δηλώνει ότι θα ακολουθήσει αντιδιαστολή, που θα απαντηθεί αργότερα με το δέ
μ᾽	ἐγώ	pronoun	IX.29: ἦ μέν μ' αὐτόθ' ἔρυκε	εμένα, με (αιτιατική ενικού του ἐγώ)
αὐτόθ᾽	αὐτόθι	adv	IX.29: μέν μ' αὐτόθ' ἔρυκε	εκεί, σε εκείνο το μέρος (επίρρημα)
Καλυψώ	Καλυψώ	name	IX.29: ἔρυκε Καλυψώ, δῖα θεάων	Καλυψώ (ονομαστική ενικού), πρβλ. καλύπτω «κρύβω, σκεπάζω»
δῖα	δῖος	adj	IX.29: Καλυψώ, δῖα θεάων	θεϊκή (ονομαστική ενικού θηλυκού)
ὣς	ὣς	adv	IX.31: ὣς δ' αὔτως; IX.34: ὣς οὐδὲν γλύκιον	έτσι
αὔτως	αὔτως	adv	IX.31: ὣς δ' αὔτως Κίρκη κατερήτυεν	με τον ίδιο ακριβώς τρόπο
Αἰαίη	Αἰαίη	name	IX.32: Αἰαίη, δολόεσσα	Αιαία (ονομαστική ενικού θηλυκού)
ἐμόν	ἐμός	adj	IX.33: ἐμὸν οὔ ποτε θυμὸν ἐνὶ στήθεσσιν	δικός μου (αιτιατική ενικού αρσενικού του ἐμός)
οὔ ποτε	οὔ ποτε	adv	IX.33: ἐμὸν οὔ ποτε θυμὸν ἐνὶ στήθεσσιν ἔπειθον	ποτέ
οὐδέν	οὐδείς	pronoun	IX.34: ὣς οὐδὲν γλύκιον ἧς πατρίδος	τίποτα (ονομαστική ενικού ουδετέρου του οὐδείς)
οὐδέ	οὐδέ	particle	IX.34: πατρίδος οὐδὲ τοκήων	και δεν, ούτε
εἴ	εἰ	conj	IX.35: γίγνεται, εἴ περ τις	αν
περ	περ	particle	IX.35: εἴ περ τις καὶ ἀπόπροθι	έστω, ακόμα και (επιτατικό μόριο)
τις	τις	pronoun	IX.35: εἴ περ τις καὶ ἀπόπροθι	κάποιος
ἀπόπροθι	ἀπόπροθι	adv	IX.35: εἴ περ τις καὶ ἀπόπροθι πίονα οἶκον	μακριά, μακριά από εδώ
γαίῃ	γαῖα	noun	IX.36: γαίῃ ἐν ἀλλοδαπῇ ναίει	σε γη (δοτική ενικού του γαῖα)
ἀπάνευθε	ἀπάνευθε	adv	IX.36: ναίει ἀπάνευθε τοκήων	μακριά από
ἄγε	ἄγε	particle	IX.37: ἄγε τοι νόστον πολυκηδέ' ἐνίσπω	έλα λοιπόν, εμπρός
τοι	σύ	pronoun	IX.37: ἄγε τοι νόστον πολυκηδέ' ἐνίσπω	σε εσένα, σου (δοτική του σύ)
ἀπό	ἀπό	prep	IX.38: κιόντι ἀπὸ Τροίηθεν	από (εδώ πρόθημα που έχει αποσπαστεί από το ἰόντι)
Τροίηθεν	Τροίηθεν	adv	IX.38: κιόντι ἀπὸ Τροίηθεν	από την Τροία
