form	lemma	pos	context	meaning
δόλοισιν	δόλος	noun	IX.19: …πᾶσι δόλοισιν ἀνθρώποισι μέλω	tricks, stratagems (dative plural of δόλος)
ἀνθρώποισι	ἄνθρωπος	noun	IX.20: ἀνθρώποισι μέλω…	to people (dative plural of ἄνθρωπος)
κλέος	κλέος	noun	IX.20: καί μευ κλέος οὐρανὸν ἵκει	fame, glory (nominative singular neuter)
οὐρανόν	οὐρανός	noun	IX.20: κλέος οὐρανὸν ἵκει	sky, heaven (accusative singular of οὐρανός)
ὄρος	ὄρος	noun	IX.21: ἐν δ' ὄρος αὐτῇ Νήριτον	mountain (nominative singular neuter)
νῆσοι	νῆσος	noun	IX.22: ἀμφὶ δὲ νῆσοι πολλαί	islands
ζόφον	ζόφος	noun	IX.26: πρὸς ζόφον…	darkness, the west (accusative singular of ζόφος)
ἀγαθή	ἀγαθός	adj	IX.27: ἀλλ' ἀγαθὴ κουροτρόφος	bountiful, good
γαίης	γαῖα	noun	IX.28: ἧς γαίης δύναμαι…	land (genitive singular of γαῖα)
δύναμαι	δύναμαι	verb	IX.28: δύναμαι γλυκερώτερον ἄλλο ἰδέσθαι	I can, I am able (1st person singular present of δύναμαι)
ἔρυκε	ἐρύκω	verb	IX.29: ἦ μέν μ' αὐτόθ' ἔρυκε Καλυψώ	was holding back, detaining (3rd person singular imperfect of ἐρύκω)
θεάων	θεά	noun	IX.29: δῖα θεάων	of the goddesses (genitive plural of θεά)
σπέσσι	σπέος	noun	IX.30: ἐν σπέσσι γλαφυροῖσι	caves (dative plural of σπέος)
γλαφυροῖσι	γλαφυρός	adj	IX.30: σπέσσι γλαφυροῖσι	hollow, deep
θυμόν	θυμός	noun	IX.33: ἐμὸν οὔποτε θυμὸν ἐνὶ στήθεσσιν	spirit, heart, the seat of emotion, inner will (accusative singular of θυμός)
πατρίδος	πατρίς	noun	IX.34: γλύκιον ἧς πατρίδος	of the homeland (genitive singular of πατρίς)
τοκήων	τοκεύς	noun	IX.34: …πατρίδος οὐδὲ τοκήων	of parents (genitive plural of τοκεύς)
νόστον	νόστος	noun	IX.37: νόστον ἐμὸν πολυκηδέ' ἐνίσπω	homecoming, return home (accusative singular of νόστος)
εἴμ᾽	εἰμί	verb	IX.19: εἴμ' Ὀδυσεὺς Λαερτιάδης	I am (1st person singular present)
μέλω	μέλω	verb	IX.20: ἀνθρώποισι μέλω, καί μευ κλέος οὐρανὸν ἵκει	"here ""I am known, I am a matter of concern"" (1st person singular present of μέλω)"
ἵκει	ἱκνέομαι	verb	IX.20: καί μευ κλέος οὐρανὸν ἵκει	reaches, comes to (3rd person singular present of ἵκω)
ναιετάω	ναιετάω	verb	IX.21: ναιετάω δ' Ἰθάκην εὐδείελον	I dwell, I inhabit (1st person singular present)
εὐδείελον	εὐδείελος	adj	IX.21: ναιετάω δ' Ἰθάκην εὐδείελον	clearly visible, conspicuous (accusative singular feminine of εὐδείελος)
εἰνοσίφυλλον	εἰνοσίφυλλος	adj	IX.22: Νήριτον εἰνοσίφυλλον, ἀριπρεπές	leaf-quivering, with rustling foliage (nominative singular neuter)
ἀριπρεπές	ἀριπρεπής	adj	IX.23: Νήριτον εἰνοσίφυλλον, ἀριπρεπές	very conspicuous, outstanding (nominative singular neuter)
ἀλλήλῃσι	ἀλλήλων	pronoun	IX.23: ναιετάουσι μάλα σχεδὸν ἀλλήλῃσι	to one another (dative plural of ἀλλήλων)
ὑλήεσσα	ὑλήεις	adj	IX.24: καὶ ὑλήεσσα Ζάκυνθος	wooded (nominative singular feminine of ὑλήεις)
χθαμαλή	χθαμαλός	adj	IX.25: αὐτὴ δὲ χθαμαλὴ πανυπερτάτη	low-lying, low (nominative singular feminine of χθαμαλός)
ἁλί	ἅλς	noun	IX.25: εἰν ἁλὶ κεῖται	"sea, literally ""salt"" (dative singular of ἅλς)"
κεῖται	κεῖμαι	verb	IX.25: εἰν ἁλὶ κεῖται	lies, is situated (3rd person singular present of κεῖμαι)
ἠῶ	ἠώς	noun	IX.26: πρὸς ἠῶ τ' ἠέλιόν τε	dawn (accusative singular of ἠώς)
ἠέλιον	ἠέλιος	noun	IX.26: πρὸς ἠῶ τ' ἠέλιόν τε	sun (accusative singular of ἠέλιος)
