form	lemma	pos	context	meaning
ἔνθεν	ἔνθεν	adv	Od. IX 82-86	оттуда
ἐννῆμαρ	ἐννῆμαρ	adv	Od. IX 82-86	ἤματα – девять дней
φερόμην	φέρω	verb	Od. IX 82-86	меня несло, я несся; имперфект медиопассивный от φέρω
ὀλοοῖσ'	ὀλοός	adj	Od. IX 82-86	дат. п. мн. ч. от ὀλοός гибельный (ср.  ὄλλυμι)
ἰχθυόεντα	ἰχθυόεις	adj	Od. IX 82-86	вин. п. ед. ч. муж. род от ἰχθυόεις рыбный, полный рыб
ἀτὰρ	ἀτάρ	particle	Od. IX 82-86	но, тем не менее
δεκάτῃ	δέκατος	adj	Od. IX 82-86	дат. п. жен. род ед. ч. от δέκατος, на десятый (день)
ἐπέβημεν	ἐπιβαίνω	verb	Od. IX 82-86	аорист 1 лицо мн. ч. от ἐπιβαίνω приходить на, достигать
οἵ	ὅς	pronoun	Od. IX 82-86	которые (лотофаги); от ὅς
τ'	τε	particle	Od. IX 82-86	, зд. можно понимать как частицу, указывающую на обобщение или общеизвестную информацию
ἄνθινον	ἄνθινος	adj	Od. IX 82-86	вин. п. ед. ч. от ἄνθινος цветочный; возможно, означает растительный и противопоставляется животной пище
εἶδαρ	εἶδαρ	noun	Od. IX 82-86	еда
ἔδουσιν	ἔδω	verb	Od. IX 82-86	3 л. мн. ч. наст. вр. от ἔδω есть (ср. аттич. ἐσθίω)
ἔνθα	ἔνθα	adv	Od. IX 82-86	там
ἠπείρου	ἤπειρος	noun	Od. IX 82-86	род. п. ед. ч. от ἤπειρος материк, суша
βῆμεν	βαίνω	verb	Od. IX 82-86	аорист 1 л. мн. ч. от βαίνω идти
ἀφυσσάμεθ'	ἀφύσσω	verb	Od. IX 82-86	1 л. мн. ч. аорист медиального залога от ἀφύσσω черпать, наливать
ὕδωρ	ὕδωρ	noun	Od. IX 82-86	вода (зд. вин. п., совпадает с именительным)
αἶψα	αἶψα	adv	Od. IX 82-86	тотчас, сразу, быстро
δεῖπνον	δεῖπνον	noun	Od. IX 82-86	обед
ἕλοντο	αἱρέω	verb	Od. IX 82-86	аорист медиального залога 3 л. мн. ч. от αἱρέω брать; взяли себе
θοῇς	θοός	adj	Od. IX 82-86	παρὰ νηυσὶν – у быстрых кораблей
σίτοιό	σῖτος	noun	Od. IX 87-90	род. п. ед. ч. от σῖτος хлеб, пища
τ'	τε	particle	Od. IX 87-90	и, соотносится с ἠδέ
ἐπασσάμεθ'	πατέομαι	verb	Od. IX 87-90	(σ)άμεθα – аорист медиального залога от πατέομαι есть, разделять пищу, питаться
ποτῆτος	ποτής	noun	Od. IX 87-90	род. п. ед. ч. от ποτής питье, напиток
δὴ	δὴ	particle	Od. IX 87-90	усилительная частица
τότ'	τότε	adv	Od. IX 87-90	тогда
ἐγὼν	ἐγώ	pronoun	Od. IX 87-90	я
ἑτάρους	ἑταῖρος	noun	Od. IX 87-90	вин. п. мн. ч. от ἑταῖρος товарищ
προΐην	προΐημι	verb	Od. IX 87-90	имперфект 1 л. ед. ч. от προΐημι отправлять вперед
πεύθεσθαι	πεύθομαι	verb	Od. IX 87-90	, инфинитив медиопассивного залога настоящего времени от πεύθομαι узнать
ἰόντας	εἶμι	verb	Od. IX 87-90	вин. п. мн. ч. муж. род причастия настоящего времени от εἶμι идти
ἀνέρες	ἀνήρ	noun	Od. IX 87-90	= ἄνδρες
εἶεν	εἰμί	verb	Od. IX 87-90	3 л. мн. ч. оптатива от εἰμί быть
χθονὶ	χθών	noun	Od. IX 87-90	дат. п. ед. ч. от χθών земля
σῖτον	σῖτος	noun	Od. IX 87-90	вин. п. ед. ч. от σῖτος хлеб, пища
ἔδοντες	ἔδω	verb	Od. IX 87-90	причастие наст. вр. муж. род им. п. от ἔδω есть
ἄνδρε	ἀνήρ	noun	Od. IX 87-90	двойственное число вин. п. от ἀνήρ
δύω	δύο	numeral	Od. IX 87-90	= δύο
κρίνας	κρίνω	verb	Od. IX 87-90	аористное причастие в муж. р. им. п. ед. ч. от κρίνω судить, решать, определять
τρίτατον	τρίτατος	adj	Od. IX 87-90	вин. п. ед. ч. от τρίτατος = τρίτος третий
κήρυχ'	κῆρυξ	noun	Od. IX 87-90	вин. п. ед. ч. от κῆρυξ глашатай
ἅμ'	ἅμα	adv	Od. IX 87-90	вместе
ὀπάσσας	ὀπάζω	verb	Od. IX 87-90	аористное причастие ед. ч. им. п. от ὀπάζω отправлять вместе, посылать в качестве сопровождения
οἱ	ὁ	pronoun	Od. IX 91-93	зд. они
αἶψ'	αἶψα	adv	Od. IX 91-93	= αἶψα
οἰχόμενοι	οἴχομαι	verb	Od. IX 91-93	причастие наст. времени муж. род. мн. ч. им. п. от οἴχομαι
οἴχομαι	οἴχομαι	verb	Od. IX 91-93	уходить
μίγεν	μίγνυμι	verb	Od. IX 91-93	аорист пассивный 3 л. мн. ч. от μίγνυμι смешивать; зд. общаться, встречаться, вступать в контакт
οὐδ'	οὐδέ	particle	Od. IX 91-93	и не
ἄρα	ἄρα	particle	Od. IX 91-93	вот; тут же; а
μήδονθ'	μήδομαι	verb	Od. IX 91-93	имперфект 3 л. мн. ч. от μήδομαι замышлять, задумывать
ἡμετέροισ'	ἡμέτερος	pronoun	Od. IX 91-93	дат. п. мн. ч. муж. род от ἡμέτερος наш
σφι	σφεῖς	pronoun	Od. IX 91-93	дат. п. от σφεῖς они; им
δόσαν	δίδωμι	verb	Od. IX 91-93	аорист 3 л. мн. ч. от δίδωμι давать
πάσασθαι	πατέομαι	verb	Od. IX 91-93	аористный инфинитив от πατέομαι есть, питаться
τῶν	ὁ	pronoun	Od. IX 94-97	зд. из них
φάγοι	ἐσθίω	verb	Od. IX 94-97	аорист оптатива от ἐσθίω, ὅς τις φάγοι – тот, кто съел
μελιηδέα	μελιηδής	adj	Od. IX 94-97	вин. п. ед. ч. от μελιηδής (μέλι мед + ἡδύς сладкий, приятный)
καρπόν	καρπός	noun	Od. IX 94-97	вин. п. ед. ч. от καρπός плод
οὐκέτ'	οὐκέτι	adv	Od. IX 94-97	больше не
ἀπαγγεῖλαι	ἀπαγγέλλω	verb	Od. IX 94-97	аористный инфинитив от ἀπαγγέλλω приносить весть
πάλιν	πάλιν	adv	Od. IX 94-97	снова
ἤθελεν	ἐθέλω	verb	Od. IX 94-97	имперфект 3 л. ед. ч. от ἐθέλω хотеть
οὐδὲ	οὐδέ	particle	Od. IX 94-97	и не (в паре с οὐκέτι: не хотел больше ни сообщить весть, ни плыть)
νέεσθαι	νέομαι	verb	Od. IX 94-97	инфинитив наст. вр. от νέομαι возвращаться
αὐτοῦ	αὐτοῦ	adv	Od. IX 94-97	здесь, на этом месте, там
βούλοντο	βούλομαι	verb	Od. IX 94-97	имперфект 3 л. мн. ч. от βούλομαι хотеть, предпочитать
μετ'	μετά	prep	Od. IX 94-97	зд. с кем-либо (мужами лотофагами)
λωτὸν	λωτός	noun	Od. IX 94-97	вин. п. ед. ч. от λωτός лотос
ἐρεπτόμενοι	ἐρέπτομαι	verb	Od. IX 94-97	причастие наст. вр. муж. род мн. ч. им. п. от ἐρέπτομαι питаться, кормиться, в основном о животных
μενέμεν	μένω	verb	Od. IX 94-97	инфинитив наст. вр. от μένω оставаться
λαθέσθαι	λανθάνω	verb	Od. IX 94-97	аористный инфинитив медиального залога от λανθάνω
λανθάνω	λανθάνω	verb	Od. IX 94-97	быть скрытым; в медиальном залоге – скрыть от себя, забыть
τοὺς	ὁ	pronoun	Od. IX 98-104	зд. их
ἐπὶ	ἐπί	prep	Od. IX 98-104	νῆας – на корабли
ἄγον	ἄγω	verb	Od. IX 98-104	имперфект 1 л. ед. ч. от ἄγω вести
