lemma	form	stanza_ref	translator	reflected
ἠριγένεια	ἠριγένεια	IX.152–155	Жуковский	no
ἠριγένεια	ἠριγένεια	IX.152–155	Вересаев	yes
ἠριγένεια	ἠριγένεια	IX.170–176	Жуковский	no
ἠριγένεια	ἠριγένεια	IX.170–176	Вересаев	yes
φαίνω	φάνη	IX.152–155	Жуковский	yes
φαίνω	φάνη	IX.152–155	Вересаев	yes
φαίνω	φάνη	IX.170–176	Жуковский	yes
φαίνω	φάνη	IX.170–176	Вересаев	yes
ῥοδοδάκτυλος	ῥοδοδάκτυλος	IX.152–155	Жуковский	yes
ῥοδοδάκτυλος	ῥοδοδάκτυλος	IX.152–155	Вересаев	yes
ῥοδοδάκτυλος	ῥοδοδάκτυλος	IX.170–176	Жуковский	yes
ῥοδοδάκτυλος	ῥοδοδάκτυλος	IX.170–176	Вересаев	yes
θαυμάζω	θαυμάζοντες	IX.152–155	Жуковский	yes
θαυμάζω	θαυμάζοντες	IX.152–155	Вересаев	yes
δινέω	ἐδινεόμεσθα	IX.152–155	Жуковский	yes
δινέω	ἐδινεόμεσθα	IX.152–155	Вересаев	yes
ὄρνυμι	ὦρσαν	IX.152–155	Жуковский	yes
ὄρνυμι	ὦρσαν	IX.152–155	Вересаев	yes
κούρη	κοῦραι	IX.152–155	Жуковский	yes
κούρη	κοῦραι	IX.152–155	Вересаев	yes
αἰγίοχος	αἰγιόχοιο	IX.152–155	Жуковский	yes
αἰγίοχος	αἰγιόχοιο	IX.152–155	Вересаев	yes
αἴξ	αἶγας	IX.152–155	Жуковский	yes
αἴξ	αἶγας	IX.152–155	Вересаев	yes
ὀρεσκῷος	ὀρεσκώιους	IX.152–155	Жуковский	yes
ὀρεσκῷος	ὀρεσκώιους	IX.152–155	Вересаев	yes
δειπνέω	δειπνήσειαν	IX.152–155	Жуковский	yes
δειπνέω	δειπνήσειαν	IX.152–155	Вересаев	yes
ἑταῖρος	ἑταῖροι	IX.152–155	Жуковский	no
ἑταῖρος	ἑταῖροι	IX.152–155	Вересаев	yes
ἑταῖρος	ἑταῖροι	IX.170–176	Жуковский	no
ἑταῖρος	ἑταῖροι	IX.170–176	Вересаев	yes
αὐτίκα	αὐτίκα	IX.156–160	Жуковский	yes
αὐτίκα	αὐτίκα	IX.156–160	Вересаев	no
καμπύλος	καμπύλα	IX.156–160	Жуковский	yes
καμπύλος	καμπύλα	IX.156–160	Вересаев	yes
τόξον	τόξα	IX.156–160	Жуковский	yes
τόξον	τόξα	IX.156–160	Вересаев	yes
αἰγανέη	αἰγανέας	IX.156–160	Жуковский	yes
αἰγανέη	αἰγανέας	IX.156–160	Вересаев	yes
δολίχαυλος	δολιχαύλους	IX.156–160	Жуковский	no
δολίχαυλος	δολιχαύλους	IX.156–160	Вересаев	yes
αἱρέω	εἱλόμεθ'	IX.156–160	Жуковский	yes
αἱρέω	εἱλόμεθ'	IX.156–160	Вересаев	yes
ναῦς	νηῶν	IX.156–160	Жуковский	yes
ναῦς	νηῶν	IX.156–160	Вересаев	yes
ναῦς	νηῶν	IX.161–165	Жуковский	yes
ναῦς	νηῶν	IX.161–165	Вересаев	yes
τρίχα	τρίχα	IX.156–160	Жуковский	yes
τρίχα	τρίχα	IX.156–160	Вересаев	yes
κοσμέω	κοσμηθέντες	IX.156–160	Жуковский	yes
κοσμέω	κοσμηθέντες	IX.156–160	Вересаев	yes
βάλλω	βάλλομεν	IX.156–160	Жуковский	yes
βάλλω	βάλλομεν	IX.156–160	Вересаев	yes
αἶψα	αἶψα	IX.156–160	Жуковский	no
αἶψα	αἶψα	IX.156–160	Вересаев	no
δίδωμι	ἔδωκε	IX.156–160	Жуковский	yes
δίδωμι	ἔδωκε	IX.156–160	Вересаев	yes
μενοεικής	μενοεικέα	IX.156–160	Жуковский	yes
μενοεικής	μενοεικέα	IX.156–160	Вересаев	yes
θήρη	θήρην	IX.156–160	Жуковский	yes
θήρη	θήρην	IX.156–160	Вересаев	yes
ἕπομαι	ἕποντο	IX.156–160	Жуковский	no
ἕπομαι	ἕποντο	IX.156–160	Вересаев	yes
λαγχάνω	λάγχανον	IX.156–160	Жуковский	yes
λαγχάνω	λάγχανον	IX.156–160	Вересаев	yes
αἴξ	αἶγες	IX.156–160	Жуковский	yes
αἴξ	αἶγες	IX.156–160	Вересаев	yes
ἐξαιρέω	ἔξελον	IX.156–160	Жуковский	yes
ἐξαιρέω	ἔξελον	IX.156–160	Вересаев	yes
ὥς	ὣς	IX.161–165	Жуковский	no
ὥς	ὣς	IX.161–165	Вересаев	yes
ὥς	ὣς	IX.177–180	Жуковский	yes
ὥς	ὣς	IX.177–180	Вересаев	yes
τότε	τότε	IX.161–165	Жуковский	no
τότε	τότε	IX.161–165	Вересаев	no
τότε	τότε	IX.166–169	Жуковский	no
τότε	τότε	IX.166–169	Вересаев	no
πρόπας	πρόπαν	IX.161–165	Жуковский	yes
πρόπας	πρόπαν	IX.161–165	Вересаев	yes
ἦμαρ	ἦμαρ	IX.161–165	Жуковский	yes
ἦμαρ	ἦμαρ	IX.161–165	Вересаев	yes
ἠέλιος	ἠέλιον	IX.161–165	Жуковский	no
ἠέλιος	ἠέλιον	IX.161–165	Вересаев	yes
καταδύω	καταδύντα	IX.161–165	Жуковский	yes
καταδύω	καταδύντα	IX.161–165	Вересаев	yes
ἧμαι	ἥμεθα	IX.161–165	Жуковский	no
ἧμαι	ἥμεθα	IX.161–165	Вересаев	yes
δαίνυμαι	δαινύμενοι	IX.161–165	Жуковский	yes
δαίνυμαι	δαινύμενοι	IX.161–165	Вересаев	yes
κρέας	κρέα	IX.161–165	Жуковский	yes
κρέας	κρέα	IX.161–165	Вересаев	yes
ἄσπετος	ἄσπετα	IX.161–165	Жуковский	no
ἄσπετος	ἄσπετα	IX.161–165	Вересаев	yes
μέθυ	μέθυ	IX.161–165	Жуковский	yes
μέθυ	μέθυ	IX.161–165	Вересаев	yes
ἡδύς	ἡδύ	IX.161–165	Жуковский	yes
ἡδύς	ἡδύ	IX.161–165	Вересаев	yes
πω	πω	IX.161–165	Жуковский	yes
πω	πω	IX.161–165	Вересаев	yes
ἐκφθίνω	ἐξέφθιτο	IX.161–165	Жуковский	yes
ἐκφθίνω	ἐξέφθιτο	IX.161–165	Вересаев	yes
οἶνος	οἶνος	IX.161–165	Жуковский	yes
οἶνος	οἶνος	IX.161–165	Вересаев	yes
ἐρυθρός	ἐρυθρός	IX.161–165	Жуковский	no
ἐρυθρός	ἐρυθρός	IX.161–165	Вересаев	yes
ἔνειμι	ἐνέην	IX.161–165	Жуковский	yes
ἔνειμι	ἐνέην	IX.161–165	Вересаев	no
πολύς	πολλὸν	IX.161–165	Жуковский	yes
πολύς	πολλὸν	IX.161–165	Вересаев	yes
ἀμφιφορεύς	ἀμφιφορεῦσιν	IX.161–165	Жуковский	yes
ἀμφιφορεύς	ἀμφιφορεῦσιν	IX.161–165	Вересаев	yes
ἀφύσσω	ἠφύσαμεν	IX.161–165	Жуковский	yes
ἀφύσσω	ἠφύσαμεν	IX.161–165	Вересаев	no
αἱρέω	ἑλόντες	IX.161–165	Жуковский	yes
αἱρέω	ἑλόντες	IX.161–165	Вересаев	yes
γαῖα	γαῖαν	IX.166–169	Жуковский	yes
γαῖα	γαῖαν	IX.166–169	Вересаев	yes
λεύσσω	ἐλεύσσομεν	IX.166–169	Жуковский	yes
λεύσσω	ἐλεύσσομεν	IX.166–169	Вересаев	yes
ἐγγύς	ἐγγὺς	IX.166–169	Жуковский	yes
ἐγγύς	ἐγγὺς	IX.166–169	Вересаев	yes
εἰμί	ἐόντων	IX.166–169	Жуковский	no
εἰμί	ἐόντων	IX.166–169	Вересаев	no
καπνός	καπνόν	IX.166–169	Жуковский	yes
καπνός	καπνόν	IX.166–169	Вересаев	yes
φθογγή	φθογγήν	IX.166–169	Жуковский	yes
φθογγή	φθογγήν	IX.166–169	Вересаев	yes
ὄϊς	οἴων	IX.166–169	Жуковский	yes
ὄϊς	οἴων	IX.166–169	Вересаев	yes
αἴξ	αἰγῶν	IX.166–169	Жуковский	yes
αἴξ	αἰγῶν	IX.166–169	Вересаев	yes
καταδύω	κατέδυ	IX.166–169	Жуковский	yes
καταδύω	κατέδυ	IX.166–169	Вересаев	yes
κνέφας	κνέφας	IX.166–169	Жуковский	yes
κνέφας	κνέφας	IX.166–169	Вересаев	yes
ἔρχομαι	ἦλθεν	IX.166–169	Жуковский	yes
ἔρχομαι	ἦλθεν	IX.166–169	Вересаев	yes
κοιμάω	κοιμήθημεν	IX.166–169	Жуковский	yes
κοιμάω	κοιμήθημεν	IX.166–169	Вересаев	yes
ἀγορή	ἀγορήν	IX.170–176	Жуковский	yes
ἀγορή	ἀγορήν	IX.170–176	Вересаев	yes
τίθημι	θέμενος	IX.170–176	Жуковский	yes
τίθημι	θέμενος	IX.170–176	Вересаев	yes
εἶπον	ἔειπον	IX.170–176	Жуковский	yes
εἶπον	ἔειπον	IX.170–176	Вересаев	yes
νῦν	νῦν	IX.170–176	Жуковский	no
νῦν	νῦν	IX.170–176	Вересаев	no
μίμνω	μίμνετ'	IX.170–176	Жуковский	yes
μίμνω	μίμνετ'	IX.170–176	Вересаев	yes
ἐρίηρος	ἐρίηρες	IX.170–176	Жуковский	yes
ἐρίηρος	ἐρίηρες	IX.170–176	Вересаев	no
ἑταῖρος	ἑτάροισιν	IX.170–176	Жуковский	no
ἑταῖρος	ἑτάροισιν	IX.170–176	Вересаев	yes
ἔρχομαι	ἐλθών	IX.170–176	Жуковский	yes
ἔρχομαι	ἐλθών	IX.170–176	Вересаев	yes
πειράω	πειρήσομαι	IX.170–176	Жуковский	yes
πειράω	πειρήσομαι	IX.170–176	Вересаев	yes
εἰμί	εἰσιν	IX.170–176	Жуковский	no
εἰμί	εἰσιν	IX.170–176	Вересаев	no
ὑβριστής	ὑβρισταί	IX.170–176	Жуковский	no
ὑβριστής	ὑβρισταί	IX.170–176	Вересаев	yes
ἄγριος	ἄγριοι	IX.170–176	Жуковский	yes
ἄγριος	ἄγριοι	IX.170–176	Вересаев	yes
δίκαιος	δίκαιοι	IX.170–176	Жуковский	yes
δίκαιος	δίκαιοι	IX.170–176	Вересаев	yes
φιλόξεινος	φιλόξεινοι	IX.170–176	Жуковский	yes
φιλόξεινος	φιλόξεινοι	IX.170–176	Вересаев	yes
ἀναβαίνω	ἔβην	IX.177–180	Жуковский	yes
ἀναβαίνω	ἔβην	IX.177–180	Вересаев	yes
κελεύω	ἐκέλευσα	IX.177–180	Жуковский	yes
κελεύω	ἐκέλευσα	IX.177–180	Вересаев	yes
ἑταῖρος	ἑταίρους	IX.177–180	Жуковский	no
ἑταῖρος	ἑταίρους	IX.177–180	Вересаев	no
ἀμβαίνω	ἀμβαίνειν	IX.177–180	Жуковский	yes
ἀμβαίνω	ἀμβαίνειν	IX.177–180	Вересаев	yes
πρυμνήσιον	πρυμνήσια	IX.177–180	Жуковский	yes
πρυμνήσιον	πρυμνήσια	IX.177–180	Вересаев	yes
ἀναλύω	λῦσαι	IX.177–180	Жуковский	yes
ἀναλύω	λῦσαι	IX.177–180	Вересаев	yes
εἰσβαίνω	εἴσβαινον	IX.177–180	Жуковский	yes
εἰσβαίνω	εἴσβαινον	IX.177–180	Вересаев	yes
κληΐς	κληῗσι	IX.177–180	Жуковский	yes
κληΐς	κληῗσι	IX.177–180	Вересаев	yes
καθίζω	καθῖζον	IX.177–180	Жуковский	yes
καθίζω	καθῖζον	IX.177–180	Вересаев	yes
ἑξῆς	ἑξῆς	IX.177–180	Жуковский	no
ἑξῆς	ἑξῆς	IX.177–180	Вересаев	yes
ἕζομαι	ἑζόμενοι	IX.177–180	Жуковский	yes
ἕζομαι	ἑζόμενοι	IX.177–180	Вересаев	yes
τύπτω	τύπτον	IX.177–180	Жуковский	yes
τύπτω	τύπτον	IX.177–180	Вересаев	yes
ἐρετμόν	ἐρετμοῖς	IX.177–180	Жуковский	yes
ἐρετμόν	ἐρετμοῖς	IX.177–180	Вересаев	yes
