Word	Translation
εἰμί	быть (esse)
αἴρω	поднимать (tollere)
ἐπαίρει ἑαυτόν	он поднимается
βαδίζω	идти (ire)
γεωργέω	заниматься земледелием (agrum colere)
ἡσυχάζω	отдыхать (requiescere)
καθίζω	садиться (sedēre)
καλέω	звать, призывать (vocare)
κάμνω	уставать (defatigari)
κατα-δύνω	заходить (о солнце) (occidere)
κατα-τρίβω	изнурять (excruciare)
λέγω	говорить (dicere)
λύω	отвязывать, распускать (solvere)
οἰκέω	жить, обитать (habitare)
παρ-έχω	давать, предоставлять (praebēre)
πονέω	трудиться (laborare)
σκάπτω	копать (effodere)
στενάζω	стонать (gemere)
φέρω	нести (ferre)
φιλέω	любить (amare)
φλέγω	жечь (urere)
χαίρω	радоваться (gaudēre)
