Word	Translation
ο δρόμος	дорога, улица
η οδός	улица (официальное)
η κίνηση	движение, трафик
η συγκοινωνία	общественный транспорт
το μετρό	метро
το λεωφορείο	автобус
το ταξί	такси
το εισιτήριο	билет
το πρόστιμο	штраф
το δρομολόγιο	расписание маршрута
η έξοδος	выход; ночная прогулка
η πλατεία	площадь
το φανάρι	светофор
ο επιβάτης	пассажир
ο πεζός	пешеход
ο τροχονόμος	регулировщик
ο αστυνομικός	полицейский/полицейская
το μέσο	средство транспорта
η διαδρομή	маршрут, путь
η στάση	остановка
το κέντρο	центр
