Word	Translation	Type
μαζί	вместе	adverb
εκεί	там	adverb
στην αρχή	сначала	adverb phrase
αργότερα	позже	adverb
τότε	тогда	adverb
η καταγωγή	происхождение;
η προέλευση	происхождение;
μεταναστεύω	1) переселяться; эмигрировать; 2) биол. мигрировать;
αναδείχνω	1) делать заметным, выделять; 2) выбирать, назначить (на должность); 3) выдвигать, продвигать (кого-л.);
εγκαταλείπω	1) покидать, оставлять; бросать; 2) забрасывать, оставлять без ухода (сад и т.п.); 3) эмигрировать;
η επανάσταση	1) восстание; 2) революция; переворот;
το απόλυτο	филос. абсолют
το ταμείο	1) касса (в разн. знач.); 2) казна;
ιδρύω	1) основывать, создавать; учреждать; 2) воздвигать, сооружать
η διοίκηση	1) (у)правле́ние 2) администра́ция ж; руково́дство 3) воен. кома́ндование
αρνούμαι	1) отверга́ть (что-л.) 2) отрица́ть 3) отка́зываться сде́лать (что-л.
λαμβάνω	1) брать, взять; 2) получать, принимать;
διαθέτω	1) располага́ть; име́ть в распоряже́нии 2) вкла́дывать (средства, деньги) 3) завеща́ть
η περιουσία	имущество, состояние;
η στήριξη	1) подпирание, поддерживание; 2) усиление, укрепление; 3) перен. обоснование
η χήρα	вдова
η σύγκρουση	1) столкнове́ние (также перен.); круше́ние 2) конфли́кт
η αντιπολίτευση	1) оппозиция (действие); 2) оппозиция, оппозиционные партии; 3) противодействие, сопротивление
προκαλώ	1) вызыва́ть 2) причиня́ть
η οργή	гнев; ярость; негодование, возмущение;
οργή θεού	стихийное бедствие;
η προνομία	прерогатива, привилегия
η καχυποψία	недоверчивость, подозрительность; мнительность
ελέγχω	проверя́ть, контроли́ровать; ревизова́ть
ελεγχόμενος	подконтрольный
η δολοφονία	убийство
η κληρονομιά	насле́дство с (также перен.); насле́дие
ο δράστης	правонаруши́тель
εμφύλιος	1) междоусобный, гражданский; 2) внутренний;
η σύγκρουση	1) столкнове́ние (также перен.); круше́ние 2) конфли́кт
έντιμος	1) честный, благородный; 2) почтенный, почитаемый, уважаемый; 3) почетный
