Word	Translation
μεγαλώνω	расти / взрослеть
θυμάμαι	помнить
νιώθω	чувствовать
περιγράφω	описывать
σκέφτομαι	думать
φαντάζομαι	представлять / воображать
γνωρίζω	знать
ταξιδεύω	путешествовать
αλλάζω	менять / изменять
περνάω	проходить / проводить время
διαφωνώ	не соглашаться
φοβάμαι	бояться
αντιδρώ	реагировать
συνεχίζω	продолжать
πιέζω	давить / оказывать давление
αισθάνομαι	чувствовать / ощущать
δολοφονώ	убивать
τιμώ	чтить / уважать
επηρεάζω	влиять / воздействовать
χωρίζω	разделять / расставаться
συγκρούομαι	сталкиваться / конфликтовать
