form	lemma	pos	context	meaning
Λαιστρυγόνας	Λαιστρυγόνας	noun	στ.4: Τους Λαιστρυγόνας και τους Κύκλωπας	лестригон(ов)
Κύκλωπας	Κύκλωπας	noun	στ.4: και τους Κύκλωπας	циклоп(ов)
θυμωμένο	θυμωμένος	adj	στ.5: τον θυμωμένο Ποσειδώνα	разгневанный
Ποσειδώνα	Ποσειδώνας	noun	στ.5: τον θυμωμένο Ποσειδώνα	Посейдон(а)
φοβάσαι	φοβάμαι	verb	στ.5: μη φοβάσαι	[ты] боишься
δρόμο	δρόμος	noun	στ.6: στον δρόμο σου	путь, дорога
βρεις	βρίσκω	verb	στ.6: ποτέ σου δεν θα βρεις	[ты] найдёшь
μέν'	μένω	verb	στ.7: αν μέν' η σκέψις σου	[она] остаётся
σκέψις	σκέψη	noun	στ.7: η σκέψις σου υψηλή	мысль
υψηλή	υψηλός	adj	στ.7: η σκέψις σου υψηλή	высокая, возвышенная
εκλεκτή	εκλεκτός	adj	στ.7: αν εκλεκτή	редкая, избранная
συγκίνησις	συγκίνηση	noun	στ.8: συγκίνησις το πνεύμα	чувство, волнение
πνεύμα	πνεύμα	noun	στ.8: το πνεύμα και το σώμα σου	дух
σώμα	σώμα	noun	στ.8: και το σώμα σου αγγίζει	тело
αγγίζει	αγγίζω	verb	στ.8: το σώμα σου αγγίζει	[оно] касается
άγριο	άγριος	adj	στ.10: τον άγριο Ποσειδώνα	свирепый
συναντήσεις	συναντώ	verb	στ.10: δεν θα συναντήσεις	[ты] встретишь
κουβανείς	κουβαλώ	verb	στ.11: αν δεν τους κουβανείς	[ты] несёшь
ψυχή	ψυχή	noun	στ.11: μες στην ψυχή σου	душа
στήνει	στήνω	verb	στ.12: δεν τους στήνει εμπρός σου	[она] ставит
