lemma	form	stanza_ref	translator	reflected
Λαιστρυγόνας	Λαιστρυγόνας	Ιθάκη, στ. 4–12	Шмаков/Бродский	yes
Λαιστρυγόνας	Λαιστρυγόνας	Ιθάκη, στ. 4–12	Ильинская	yes
Λαιστρυγόνας	Λαιστρυγόνας	Ιθάκη, στ. 4–12	Левитов	yes
Κύκλωπας	Κύκλωπας	Ιθάκη, στ. 4–12	Шмаков/Бродский	yes
Κύκλωπας	Κύκλωπας	Ιθάκη, στ. 4–12	Ильинская	yes
Κύκλωπας	Κύκλωπας	Ιθάκη, στ. 4–12	Левитов	yes
θυμωμένος	θυμωμένο	Ιθάκη, στ. 4–12	Шмаков/Бродский	yes
θυμωμένος	θυμωμένο	Ιθάκη, στ. 4–12	Ильинская	yes
θυμωμένος	θυμωμένο	Ιθάκη, στ. 4–12	Левитов	yes
Ποσειδώνας	Ποσειδώνα	Ιθάκη, στ. 4–12	Шмаков/Бродский	yes
Ποσειδώνας	Ποσειδώνα	Ιθάκη, στ. 4–12	Ильинская	yes
Ποσειδώνας	Ποσειδώνα	Ιθάκη, στ. 4–12	Левитов	yes
φοβάμαι	φοβάσαι	Ιθάκη, στ. 4–12	Шмаков/Бродский	yes
φοβάμαι	φοβάσαι	Ιθάκη, στ. 4–12	Ильинская	yes
φοβάμαι	φοβάσαι	Ιθάκη, στ. 4–12	Левитов	yes
δρόμος	δρόμο	Ιθάκη, στ. 4–12	Шмаков/Бродский	no
δρόμος	δρόμο	Ιθάκη, στ. 4–12	Ильинская	yes
δρόμος	δρόμο	Ιθάκη, στ. 4–12	Левитов	yes
βρίσκω	βρεις	Ιθάκη, στ. 4–12	Шмаков/Бродский	no
βρίσκω	βρεις	Ιθάκη, στ. 4–12	Ильинская	yes
βρίσκω	βρεις	Ιθάκη, στ. 4–12	Левитов	yes
μένω	μέν'	Ιθάκη, στ. 4–12	Шмаков/Бродский	no
μένω	μέν'	Ιθάκη, στ. 4–12	Ильинская	yes
μένω	μέν'	Ιθάκη, στ. 4–12	Левитов	no
σκέψη	σκέψις	Ιθάκη, στ. 4–12	Шмаков/Бродский	yes
σκέψη	σκέψις	Ιθάκη, στ. 4–12	Ильинская	yes
σκέψη	σκέψις	Ιθάκη, στ. 4–12	Левитов	yes
υψηλός	υψηλή	Ιθάκη, στ. 4–12	Шмаков/Бродский	yes
υψηλός	υψηλή	Ιθάκη, στ. 4–12	Ильинская	yes
υψηλός	υψηλή	Ιθάκη, στ. 4–12	Левитов	yes
εκλεκτός	εκλεκτή	Ιθάκη, στ. 4–12	Шмаков/Бродский	no
εκλεκτός	εκλεκτή	Ιθάκη, στ. 4–12	Ильинская	yes
εκλεκτός	εκλεκτή	Ιθάκη, στ. 4–12	Левитов	no
συγκίνηση	συγκίνησις	Ιθάκη, στ. 4–12	Шмаков/Бродский	yes
συγκίνηση	συγκίνησις	Ιθάκη, στ. 4–12	Ильинская	yes
συγκίνηση	συγκίνησις	Ιθάκη, στ. 4–12	Левитов	yes
πνεύμα	πνεύμα	Ιθάκη, στ. 4–12	Шмаков/Бродский	no
πνεύμα	πνεύμα	Ιθάκη, στ. 4–12	Ильинская	no
πνεύμα	πνεύμα	Ιθάκη, στ. 4–12	Левитов	yes
σώμα	σώμα	Ιθάκη, στ. 4–12	Шмаков/Бродский	no
σώμα	σώμα	Ιθάκη, στ. 4–12	Ильинская	yes
σώμα	σώμα	Ιθάκη, στ. 4–12	Левитов	yes
αγγίζω	αγγίζει	Ιθάκη, στ. 4–12	Шмаков/Бродский	no
αγγίζω	αγγίζει	Ιθάκη, στ. 4–12	Ильинская	no
αγγίζω	αγγίζει	Ιθάκη, στ. 4–12	Левитов	no
άγριος	άγριο	Ιθάκη, στ. 4–12	Шмаков/Бродский	no
άγριος	άγριο	Ιθάκη, στ. 4–12	Ильинская	yes
άγριος	άγριο	Ιθάκη, στ. 4–12	Левитов	no
συναντώ	συναντήσεις	Ιθάκη, στ. 4–12	Шмаков/Бродский	no
συναντώ	συναντήσεις	Ιθάκη, στ. 4–12	Ильинская	yes
συναντώ	συναντήσεις	Ιθάκη, στ. 4–12	Левитов	no
κουβαλώ	κουβανείς	Ιθάκη, στ. 4–12	Шмаков/Бродский	no
κουβαλώ	κουβανείς	Ιθάκη, στ. 4–12	Ильинская	yes
κουβαλώ	κουβανείς	Ιθάκη, στ. 4–12	Левитов	no
ψυχή	ψυχή	Ιθάκη, στ. 4–12	Шмаков/Бродский	yes
ψυχή	ψυχή	Ιθάκη, στ. 4–12	Ильинская	yes
ψυχή	ψυχή	Ιθάκη, στ. 4–12	Левитов	yes
στήνω	στήνει	Ιθάκη, στ. 4–12	Шмаков/Бродский	no
στήνω	στήνει	Ιθάκη, στ. 4–12	Ильинская	yes
στήνω	στήνει	Ιθάκη, στ. 4–12	Левитов	yes
