form	lemma	pos	context	meaning
δρόμος	δρόμος	noun	στ.13: να 'ναι μακρύς ο δρόμος	путь, дорога
μακρύς	μακρύς	adj	στ.13: να 'ναι μακρύς ο δρόμος	долгий
εύχεσαι	εύχομαι	verb	στ.13: Να εύχεσαι να 'ναι	[ты] желаешь
καλοκαιρινά	καλοκαιρινός	adj	στ.14: τα καλοκαιρινά πρωιά	летние
ευχαρίστησι	ευχαρίστηση	noun	στ.15: με τί ευχαρίστησι	удовольствие
χαρά	χαρά	noun	στ.15: με τί χαρά	радость
μπαίνεις	μπαίνω	verb	στ.16: θα μπαίνεις σε λιμένας	[ты] будешь входить
λιμένας	λιμάνι	noun	στ.16: σε λιμένας πρωτοϊδωμένους	гавани, порты
σταματήσεις	σταματώ	verb	στ.17: να σταματήσεις σ' εμπορεία	[ты] остановишься
εμπορεία	εμπορείο	noun	στ.17: σ' εμπορεία Φοινικικά	торговые города, рынки
Φοινικικά	Φοινικικός	adj	στ.17: εμπορεία Φοινικικά	финикийские
πραγμάτειες	πραγμάτεια	noun	στ.18: τες καλές πραγμάτειες	товары
αποκτήσεις	αποκτώ	verb	στ.18: πραγμάτειες ν' αποκτήσεις	[ты] приобретёшь
σεντέφια	σεντέφι	noun	στ.19: σεντέφια και κοράλλια	перламутр
κοράλλια	κοράλλι	noun	στ.19: και κοράλλια	кораллы
κεχριμπάρια	κεχριμπάρι	noun	στ.19: κεχριμπάρια κι έβενους	янтарь
έβενους	έβενος	noun	στ.19: κι έβενους	чёрное дерево
ηδονικά	ηδονικός	adj	στ.20: ηδονικά μυρωδικά κάθε λογής	чувственные, доставляющие наслаждение
μυρωδικά	μυρωδικό	noun	στ.20: ηδονικά μυρωδικά κάθε λογής	благовония
πόλεις	πόλη	noun	στ.22: σε πόλεις Αιγυπτιακές	города
Αιγυπτιακές	Αιγυπτιακός	adj	στ.22: πόλεις Αιγυπτιακές πολλές	египетские
μάθεις	μαθαίνω	verb	στ.23: να μάθεις και να μάθεις	[ты] научишься
σπουδασμένους	σπουδασμένος	adj	στ.23: απ' τους σπουδασμένους	учёные, образованные
