lemma	form	stanza_ref	translator	reflected
δρόμος	δρόμος	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
δρόμος	δρόμος	Ιθάκη, στ. 13–23	Ильинская	no
μακρύς	μακρύς	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
μακρύς	μακρύς	Ιθάκη, στ. 13–23	Ильинская	no
εύχομαι	εύχεσαι	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
εύχομαι	εύχεσαι	Ιθάκη, στ. 13–23	Ильинская	no
καλοκαιρινός	καλοκαιρινά	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
καλοκαιρινός	καλοκαιρινά	Ιθάκη, στ. 13–23	Ильинская	yes
ευχαρίστηση	ευχαρίστησι	Ιθάκη, στ. 13–23	Шмаков/Бродский	no
ευχαρίστηση	ευχαρίστησι	Ιθάκη, στ. 13–23	Ильинская	no
χαρά	χαρά	Ιθάκη, στ. 13–23	Шмаков/Бродский	no
χαρά	χαρά	Ιθάκη, στ. 13–23	Ильинская	no
μπαίνω	μπαίνεις	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
μπαίνω	μπαίνεις	Ιθάκη, στ. 13–23	Ильинская	yes
λιμάνι	λιμένας	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
λιμάνι	λιμένας	Ιθάκη, στ. 13–23	Ильинская	yes
σταματώ	σταματήσεις	Ιθάκη, στ. 13–23	Шмаков/Бродский	no
σταματώ	σταματήσεις	Ιθάκη, στ. 13–23	Ильинская	no
εμπορείο	εμπορεία	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
εμπορείο	εμπορεία	Ιθάκη, στ. 13–23	Ильинская	no
Φοινικικός	Φοινικικά	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
Φοινικικός	Φοινικικά	Ιθάκη, στ. 13–23	Ильинская	yes
πραγμάτεια	πραγμάτειες	Ιθάκη, στ. 13–23	Шмаков/Бродский	no
πραγμάτεια	πραγμάτειες	Ιθάκη, στ. 13–23	Ильинская	yes
αποκτώ	αποκτήσεις	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
αποκτώ	αποκτήσεις	Ιθάκη, στ. 13–23	Ильинская	yes
σεντέφι	σεντέφια	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
σεντέφι	σεντέφια	Ιθάκη, στ. 13–23	Ильинская	yes
κοράλλι	κοράλλια	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
κοράλλι	κοράλλια	Ιθάκη, στ. 13–23	Ильинская	yes
κεχριμπάρι	κεχριμπάρια	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
κεχριμπάρι	κεχριμπάρια	Ιθάκη, στ. 13–23	Ильинская	yes
έβενος	έβενους	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
έβενος	έβενους	Ιθάκη, στ. 13–23	Ильинская	yes
ηδονικός	ηδονικά	Ιθάκη, στ. 13–23	Шмаков/Бродский	no
ηδονικός	ηδονικά	Ιθάκη, στ. 13–23	Ильинская	yes
μυρωδικό	μυρωδικά	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
μυρωδικό	μυρωδικά	Ιθάκη, στ. 13–23	Ильинская	yes
πόλη	πόλεις	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
πόλη	πόλεις	Ιθάκη, στ. 13–23	Ильинская	yes
Αιγυπτιακός	Αιγυπτιακές	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
Αιγυπτιακός	Αιγυπτιακές	Ιθάκη, στ. 13–23	Ильинская	yes
μαθαίνω	μάθεις	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
μαθαίνω	μάθεις	Ιθάκη, στ. 13–23	Ильинская	no
σπουδασμένος	σπουδασμένους	Ιθάκη, στ. 13–23	Шмаков/Бродский	yes
σπουδασμένος	σπουδασμένους	Ιθάκη, στ. 13–23	Ильинская	no
