Word	Translation
αφήνω	to leave
ζητάω	to ask for / seek
μιλάω	to speak
φωνάζω	to call out / shout
ετοιμάζω	to prepare
κανονίζω	to arrange
καλώ	to invite
κλείνω	to close / book
περιμένω	to wait
γνωρίζω	to know / meet
ενοχλώ	to bother
υπάρχω	to exist
πειράζω	to matter / bother
επικοινωνώ	to contact / get in touch
κερνάω	to treat (someone)
συστήνω	to introduce / recommend
σπουδάζω	to study
γιορτάζω	to celebrate
στέλνω	to send
διαβάζω	to read / study
πληρώνω	to pay
ακούω	to hear
χρησιμοποιώ	to use
προτείνω	to suggest / recommend
κρατάω	to hold / keep
προτιμώ	to prefer
