Word	Translation
αφήνω	оставлять
ζητάω	просить / искать
μιλάω	разговаривать
φωνάζω	звать / кричать
ετοιμάζω	готовить
κανονίζω	договариваться
καλώ	приглашать
κλείνω	закрывать / бронировать
περιμένω	ждать
γνωρίζω	знать / знакомиться
ενοχλώ	беспокоить
υπάρχω	существовать
πειράζω	беспокоить / иметь значение
επικοινωνώ	общаться / связываться
κερνάω	угощать
συστήνω	представлять / знакомить
σπουδάζω	изучать / быть студентом
γιορτάζω	праздновать
στέλνω	посылать
διαβάζω	читать / учиться
πληρώνω	платить
ακούω	слышать
χρησιμοποιώ	использовать
προτείνω	предлагать
κρατάω	держать
προτιμώ	предпочитать
