Word	Translation	Type
ο δρόμος	дорога	noun
η οδός	улица	noun
η λεωφόρος	проспект	noun
η κίνηση	движение, трафик	noun
η συγκοινωνία	общественный транспорт	noun
το μετρό	метро	noun
το λεωφορείο	автобус	noun
το ταξί	такси	noun
το εισιτήριο	билет	noun
το πρόστιμο	штраф	noun
το δρομολόγιο	маршрут, расписание	noun
η κατεύθυνση	направление	noun
η έξοδος	выход	noun
η πλατεία	площадь	noun
το φανάρι	светофор	noun
ο κόμβος	перекрёсток	noun
ο επιβάτης	пассажир	noun
ο πεζός	пешеход	noun
ο τροχονόμος	регулировщик	noun
ο αστυνομικός	полицейский	noun
το μέσο	средство (транспорта)	noun
η διαδρομή	маршрут	noun
η στάση	остановка	noun
το κέντρο	центр	noun
προχωράω	идти вперёд	verb
στρίβω	поворачивать	verb
συνεχίζω	продолжать	verb
διασχίζω	пересекать	verb
περνάω	проходить, проезжать	verb
παίρνω	брать (транспорт)	verb
κυκλοφορώ	ездить, ходить	verb
οδηγώ	водить	verb
επικυρώνω	компостировать, валидировать	verb
ελπίζω	надеяться	verb
ενοχλώ	беспокоить	verb
προσέχω	быть осторожным	verb
φτάνω	прибывать	verb
σταματάω	останавливаться	verb
ίδιος	тот же самый	adjective
τέτοιος	такой	adjective
τόσος	столько	adjective
καθημερινός	ежедневный	adjective
φοβερός	ужасный, потрясающий	adjective
μειωμένος	сниженный	adjective
γνωστός	известный	adjective
διαφορετικός	другой	adjective
επόμενος	следующий	adjective
τελευταίος	последний	adjective
κάποιος	кто-то	pronoun
κανένας	никто / кто-либо	pronoun
ο καθένας	каждый	pronoun
