Word	Translation	Type
το πεζοδρόμιο	sidewalk	noun
η πολυκατοικία	apartment building	noun
το πράσινο	greenery	noun
το χωράφι	field	noun
η αυλή	courtyard / yard	noun
το αεροπλάνο	airplane	noun
το τρένο	train	noun
το ποδήλατο	bicycle	noun
το μήνυμα	message	noun
το κινητό	mobile phone	noun
το γράμμα	letter	noun
ο υπολογιστής	computer	noun
η τσάντα	bag	noun
το κοστούμι	suit	noun
τα σκουπίδια	garbage	noun
η επιστροφή	return	noun
η πατρίδα	homeland	noun
η γλώσσα	language	noun
το βουνό	mountain	noun
το διαμέρισμα	apartment	noun
η παραλία	beach	noun
το λιμάνι	port	noun
ο τουρίστας	tourist	noun
η ατμόσφαιρα	atmosphere	noun
το εργοστάσιο	factory	noun
η οικογένεια	family	noun
το λουλούδι	flower	noun
πηγαίνω	to go	verb
παίζω	to play	verb
ακούω	to hear / listen	verb
λέω	to say	verb
κλαίω	to cry	verb
φταίω	to be at fault	verb
υπάρχω	to exist	verb
παλιός, -ά, -ό	old	adjective
καινούριος, -α, -ο	new	adjective
χαμηλός, -ή, -ό	low	adjective
