url	icon	greek	label_ru	label_el	label_en	title_ru	title_el	title_en	desc_ru	desc_el	desc_en	index_url
https://molab.marimo.io/notebooks/nb_Jet2XzZu3epyb6M7N9K3JA/app	📞	Αφήστε το μήνυμά σας	Глава 1	Ενότητα 1	Chapter 1	Оставьте ваше сообщение	Αφήστε το μήνυμά σας	Leave Your Message	Существительные, глаголы и прилагательные — словарь по теме «Социальные контакты и общение».	Ουσιαστικά, ρήματα και επίθετα — λεξιλόγιο κοινωνικών επαφών και επικοινωνίας.	Nouns, verbs, and adjectives — social contacts and communication vocabulary.	https://molab.marimo.io/notebooks/nb_dtf1jtsZBf5E5BED1D6zii/app
https://molab.marimo.io/notebooks/nb_LgoXtFZWGveFacZETuUiZx/app	🏠	Σπίτι μου σπιτάκι μου	Глава 2	Ενότητα 2	Chapter 2	Дом, милый дом	Σπίτι μου σπιτάκι μου	My Home Sweet Home	Существительные, глаголы и прилагательные — словарь по теме «Дом и повседневная жизнь».	Ουσιαστικά, ρήματα και επίθετα — λεξιλόγιο σπιτιού και καθημερινής ζωής.	Nouns, verbs, and adjectives — home and daily life vocabulary.	https://molab.marimo.io/notebooks/nb_dtf1jtsZBf5E5BED1D6zii/app
https://molab.marimo.io/notebooks/nb_znfXhVVXiTiyHNWfJg8dNi/app	🏙️	Οι δρόμοι της πόλης	Глава 3	Ενότητα 3	Chapter 3	Такое движение!	Είχε τέτοια κίνηση!	Such Traffic!	Существительные, глаголы и прилагательные — словарь по теме «Город, транспорт и передвижение».	Ουσιαστικά, ρήματα και επίθετα — λεξιλόγιο πόλης, μεταφορών και μετακίνησης.	Nouns, verbs, and adjectives — city, transport, and movement vocabulary.	https://molab.marimo.io/notebooks/nb_dtf1jtsZBf5E5BED1D6zii/app
https://molab.marimo.io/notebooks/nb_BoDy4MqY588btgJnGdVhkH/app	🛒	Είναι πανάκριβα!	Глава 4	Ενότητα 4	Chapter 4	Это очень дорого!	Είναι πανάκριβα!	It's So Expensive!	Существительные, глаголы и прилагательные — словарь по теме «Покупки, цены и рынок».	Ουσιαστικά, ρήματα και επίθετα — λεξιλόγιο αγορών, τιμών και αγοράς.	Nouns, verbs, and adjectives — shopping, prices, and market vocabulary.	https://molab.marimo.io/notebooks/nb_dtf1jtsZBf5E5BED1D6zii/app
https://molab.marimo.io/notebooks/nb_YcQQNnMdSaQeRHmHDGY7KM/app	🍽️	Φάγαμε, ήπιαμε…	Глава 6	Ενότητα 6	Chapter 6	Ели, пили…	Φάγαμε, ήπιαμε…	We Ate, We Drank…	Существительные, глаголы и прилагательные — словарь по теме «Еда, напитки и ресторан».	Ουσιαστικά, ρήματα και επίθετα — λεξιλόγιο φαγητού, ποτών και εστιατορίου.	Nouns, verbs, and adjectives — food, drink, and restaurant vocabulary.	https://molab.marimo.io/notebooks/nb_dtf1jtsZBf5E5BED1D6zii/app
https://molab.marimo.io/notebooks/nb_hEpco3G84DGNdFXpVYZ3y4/app	🏘️	Θυμάμαι ότι παίζαμε…	Глава 7	Ενότητα 7	Chapter 7	Образы из прошлого	Εικόνες από το παρελθόν	Images from the Past	Существительные, глаголы и прилагательные — прошедшее продолженное время и воспоминания.	Ουσιαστικά, ρήματα και επίθετα — παρατατικός και αναμνήσεις.	Nouns, verbs, and adjectives — past imperfect tense and memories.	https://molab.marimo.io/notebooks/nb_dtf1jtsZBf5E5BED1D6zii/app
https://molab.marimo.io/notebooks/nb_ALxQFbGS9Jq8phLPQbGrru/app	🌤️	Έχει ο καιρός γυρίσματα	Глава 8	Ενότητα 8	Chapter 8	Погода переменчива	Έχει ο καιρός γυρίσματα	Weather is Changeable	Существительные, глаголы и прилагательные — словарь по теме «Погода, будущее время и условные предложения».	Ουσιαστικά, ρήματα και επίθετα — λεξιλόγιο καιρού, μέλλοντα και υποθετικών προτάσεων.	Nouns, verbs, and adjectives — weather, future tense, and conditional sentences.	https://molab.marimo.io/notebooks/nb_dtf1jtsZBf5E5BED1D6zii/app
https://molab.marimo.io/notebooks/nb_NK69X9ZtB785PTA971TNSD/app	♻️	Αλλάζουμε συνήθειες	Глава 9	Ενότητα 9	Chapter 9	Меняем привычки	Αλλάζουμε συνήθειες	Changing Our Habits	Существительные, глаголы и прилагательные — окружающая среда, будущее продолженное и косвенные вопросы.	Ουσιαστικά, ρήματα και επίθετα — περιβάλλον, συνεχής μέλλοντας και πλάγιες ερωτηματικές.	Nouns, verbs, and adjectives — environment, continuous future, and indirect questions.	https://molab.marimo.io/notebooks/nb_dtf1jtsZBf5E5BED1D6zii/app
https://molab.marimo.io/notebooks/nb_EDUnXkowen3RAuckrYhYUb/app	✈️	Πάμε διακοπές;	Глава 11	Ενότητα 11	Chapter 11	Едем в отпуск?	Πάμε διακοπές;	Shall We Go on Holiday?	Существительные, глаголы и прилагательные — простое сослагательное, условные и уступительные предложения.	Ουσιαστικά, ρήματα και επίθετα — απλή υποτακτική, υποθετικές και εναντιωματικές προτάσεις.	Nouns, verbs, and adjectives — simple subjunctive, conditional and concessive clauses.	https://molab.marimo.io/notebooks/nb_dtf1jtsZBf5E5BED1D6zii/app
https://molab.marimo.io/notebooks/nb_wmHMbhTAmq3rix5PbYseQV/app	🚑	Ένα ατύχημα στους δρόμους	Глава 12	Ενότητα 12	Chapter 12	Авария на дороге	Ένα ατύχημα στους δρόμους	An Accident on the Road	Существительные, глаголы и прилагательные — сослагательное наклонение, несчастные случаи и здоровье.	Ουσιαστικά, ρήματα και επίθετα — υποτακτική, ατυχήματα και λεξιλόγιο υγείας.	Nouns, verbs, and adjectives — subjunctive mood, accidents, and health vocabulary.	https://molab.marimo.io/notebooks/nb_dtf1jtsZBf5E5BED1D6zii/app
