form	lemma	pos	context	meaning
Ἄνδρα	ἀνήρ	noun	I.1: Ἄνδρα μοι ἔννεπε, μοῦσα…	мужа (винительный падеж единственного числа от ἀνήρ)
ἔγνω	γιγνώσκω	verb	I.3: …νόον ἔγνω	узнал (активный аорист от γιγνώσκω)
ἱέμενός	ἵημι	verb	I.6: …ἐρρύσατο, ἱέμενός περ	причастие муж. р. медиального залога от ἵημι, пускать, посылать, в медиальном залоге: спешить, стремиться
θεά	θεός	noun	I.10: …τῶν ἁμόθεν γε, θεά, θύγατερ Διός	богиня
Διός	Ζεύς	noun	I.10: …θύγατερ Διός, εἰπὲ καὶ ἡμῖν	Зевса (род. п. от Ζεύς)
εἶναι	εἰμί	verb	I.15: …λιλαιομένη πόσιν εἶναι	инфинитив от εἰμί, зд. часть конструкции, «чтобы он был»
ἔτος	ἔτος	noun	I.16: ἀλλ' ὅτε δὴ ἔτος ἦλθε…	год
θεοὶ	θεός	noun	I.17: …ἐπεκλώσαντο θεοὶ οἰκόνδε νέεσθαι	боги (множ. ч. от θεός)
ἀνθρώπων	ἄνθρωπος	noun	I.3: πολλῶν δ' ἀνθρώπων ἴδεν ἄστεα…	людей (родит. п. множ. ч. от ἄνθρωπος)
πόντῳ	πόντος	noun	I.4: …ἐν πόντῳ πάθεν ἄλγεα…	море (дат. п. от πόντος)
ἦμαρ	ἦμαρ	noun	I.10: …ἀφείλετο νόστιμον ἦμαρ	день
θύγατερ	θυγάτηρ	noun	I.10: …θεά, θύγατερ Διός	дочь (звательный падеж от θυγάτηρ)
ὄλεθρον	ὄλεθρος	noun	I.11: …ὅσοι φύγον αἰπὺν ὄλεθρον	гибели (вин. п. от ὄλεθρος)
γυναικὸς	γυνή	noun	I.13: …νόστου κεχρημένον ἠδὲ γυναικὸς	жены (род. п. от γυνή)
νύμφη	νύμφη	noun	I.14: νύμφη πόντι' ἔρυκε Καλυψώ…	нимфа
σπέσσι	σπέος	noun	I.15: ἐν σπέσσι γλαφυροῖσι…	пещерах (дат. п. множ. ч. от σπέος)
ἄστεα	ἄστυ	noun	I.3: πολλῶν δ᾿ ἀνθρώπων ἴδεν ἄστεα	города (винит. п. множ. ч. от ἄστυ)
ψυχήν	ψυχή	noun	I.5: …ψυχὴν καὶ νόστον ἑταίρων	душу (вин. п. от ψυχή)
πλάγχθη	πλάζω	verb	I.2: πλάγχθη, ἐπεὶ Τροίης ἱερὸν πτολίεθρον ἔπερσεν	скитался (прошедшее законченное время, аорист, пассивного залога от πλάζω, сбивать с пути)
ἴδεν	ὁράω	verb	I.3: πολλῶν δ᾿ ἀνθρώπων ἴδεν ἄστεα	видел (активный аорист, в наст. вр. употребляется ὁράω)
πάθεν	πάσχω	verb	I.4: ἐν πόντῳ πάθεν ἄλγεα	претерпел, испытал (активный аорист от πάσχω)
ὄλοντο	ἀπόλλυμι	verb	I.7: σφετέρῃσιν ἀτασθαλίῃσιν ὄλοντο	погибли (медиальный аорист от ὄλλυμι, губить)
φύγον	φεύγω	verb	I.11: ὅσοι φύγον αἰπὺν ὄλεθρον	избежали (активный аорист от φεύγω)
ἐπεκλώσαντο	ἐπικλώθω	verb	I.17: ἐπεκλώσαντο θεοὶ οἰκόνδε νέεσθαι	дали в удел, определили (медиальный аорист от ἐπικλώθω, прясть, прясть нить судьбы, давать в удел)
ἱκέσθαι	ἱκνέομαι	verb	I.21: …πάρος ἣν γαῖαν ἱκέσθαι	пришел (инфинитив аориста от ἱκνέομαι)
ἔννεπε	ἐνέπω	verb	I.1: Ἄνδρα μοι ἔννεπε, μοῦσα	расскажи (повелительное наклонение от ἐννέπω)
πολύτροπον	πολύτροπος	adj	I.1: ἔννεπε, μοῦσα, πολύτροπον	πολύ много + τροπος (τρέπω поворачивать) направление, образ, способ → много странствовавший / многообразный, изворотливый. вин. п. ед. ч.
