lemma	form	stanza_ref	translator	reflected
ἔνθεν	ἔνθεν	IX.82–86	Жуковский	no
ἔνθεν	ἔνθεν	IX.82–86	Вересаев	no
ἐννῆμαρ	ἐννῆμαρ	IX.82–86	Жуковский	yes
ἐννῆμαρ	ἐννῆμαρ	IX.82–86	Вересаев	yes
φέρω	φερόμην	IX.82–86	Жуковский	yes
φέρω	φερόμην	IX.82–86	Вересаев	yes
ὀλοός	ὀλοοῖσ'	IX.82–86	Жуковский	yes
ὀλοός	ὀλοοῖσ'	IX.82–86	Вересаев	yes
ἰχθυόεις	ἰχθυόεντα	IX.82–86	Жуковский	yes
ἰχθυόεις	ἰχθυόεντα	IX.82–86	Вересаев	yes
δέκατος	δεκάτῃ	IX.82–86	Жуковский	yes
δέκατος	δεκάτῃ	IX.82–86	Вересаев	yes
ἐπιβαίνω	ἐπέβημεν	IX.82–86	Жуковский	no
ἐπιβαίνω	ἐπέβημεν	IX.82–86	Вересаев	yes
ἄνθινος	ἄνθινον	IX.82–86	Жуковский	yes
ἄνθινος	ἄνθινον	IX.82–86	Вересаев	yes
εἶδαρ	εἶδαρ	IX.82–86	Жуковский	yes
εἶδαρ	εἶδαρ	IX.82–86	Вересаев	yes
ἔδω	ἔδουσιν	IX.82–86	Жуковский	yes
ἔδω	ἔδουσιν	IX.82–86	Вересаев	yes
ἔνθα	ἔνθα	IX.82–86	Жуковский	no
ἔνθα	ἔνθα	IX.82–86	Вересаев	no
ἤπειρος	ἠπείρου	IX.82–86	Жуковский	yes
ἤπειρος	ἠπείρου	IX.82–86	Вересаев	yes
βαίνω	βῆμεν	IX.82–86	Жуковский	yes
βαίνω	βῆμεν	IX.82–86	Вересаев	yes
ἀφύσσω	ἀφυσσάμεθ'	IX.82–86	Жуковский	yes
ἀφύσσω	ἀφυσσάμεθ'	IX.82–86	Вересаев	yes
ὕδωρ	ὕδωρ	IX.82–86	Жуковский	yes
ὕδωρ	ὕδωρ	IX.82–86	Вересаев	yes
αἶψα	αἶψα	IX.82–86	Жуковский	yes
αἶψα	αἶψα	IX.82–86	Вересаев	no
δεῖπνον	δεῖπνον	IX.82–86	Жуковский	yes
δεῖπνον	δεῖπνον	IX.82–86	Вересаев	yes
αἱρέω	ἕλοντο	IX.82–86	Жуковский	yes
αἱρέω	ἕλοντο	IX.82–86	Вересаев	yes
θοός	θοῇς	IX.82–86	Жуковский	yes
θοός	θοῇς	IX.82–86	Вересаев	yes
σῖτος	σίτοιό	IX.87–90	Жуковский	yes
σῖτος	σίτοιό	IX.87–90	Вересаев	yes
πατέομαι	ἐπασσάμεθ'	IX.87–90	Жуковский	yes
πατέομαι	ἐπασσάμεθ'	IX.87–90	Вересаев	yes
ποτής	ποτῆτος	IX.87–90	Жуковский	yes
ποτής	ποτῆτος	IX.87–90	Вересаев	yes
τότε	τότ'	IX.87–90	Жуковский	no
τότε	τότ'	IX.87–90	Вересаев	no
ἑταῖρος	ἑτάρους	IX.87–90	Жуковский	yes
ἑταῖρος	ἑτάρους	IX.87–90	Вересаев	yes
προΐημι	προΐην	IX.87–90	Жуковский	yes
προΐημι	προΐην	IX.87–90	Вересаев	yes
πεύθομαι	πεύθεσθαι	IX.87–90	Жуковский	yes
πεύθομαι	πεύθεσθαι	IX.87–90	Вересаев	yes
εἶμι	ἰόντας	IX.87–90	Жуковский	no
εἶμι	ἰόντας	IX.87–90	Вересаев	yes
ἀνήρ	ἀνέρες	IX.87–90	Жуковский	yes
ἀνήρ	ἀνέρες	IX.87–90	Вересаев	yes
εἰμί	εἶεν	IX.87–90	Жуковский	no
εἰμί	εἶεν	IX.87–90	Вересаев	yes
χθών	χθονὶ	IX.87–90	Жуковский	yes
χθών	χθονὶ	IX.87–90	Вересаев	yes
