form	lemma	pos	context	meaning
Κυκλώπων	Κύκλωψ	noun	IX.106: Κυκλώπων δ' ἐς γαῖαν ὑπερφιάλων	циклоп
ὑπερφιάλων	ὑπερφίαλος	adj	IX.106: γαῖαν ὑπερφιάλων ἀθεμίστων	надменный, дерзкий, наглый
ἀθεμίστων	ἀθέμιστος	adj	IX.106: ὑπερφιάλων ἀθεμίστων ἱκόμεθ'	беззаконный
πεποιθότες	πείθω	verb	IX.107: οἵ ῥα θεοῖσι πεποιθότες ἀθανάτοισιν	подчинившись (перф. прич.)
φυτεύουσιν	φυτεύω	verb	IX.108: οὔτε φυτεύουσιν χερσὶν φυτὸν	сажать, выращивать
χερσὶν	χείρ	noun	IX.108: φυτεύουσιν χερσὶν φυτὸν οὔτ' ἀρόωσιν	рука
φυτὸν	φυτόν	noun	IX.108: φυτεύουσιν χερσὶν φυτὸν οὔτ' ἀρόωσιν	растение
ἀρόωσιν	ἀρόω	verb	IX.108: χερσὶν φυτὸν οὔτ' ἀρόωσιν	пахать
ἄσπαρτα	ἄσπαρτος	adj	IX.109: ἀλλὰ τά γ' ἄσπαρτα καὶ ἀνήροτα πάντα	несеяный
ἀνήροτα	ἀνήροτος	adj	IX.109: τά γ' ἄσπαρτα καὶ ἀνήροτα πάντα φύονται	непаханый
φύονται	φύω	verb	IX.109: ἄσπαρτα καὶ ἀνήροτα πάντα φύονται	расти (μεδ.)
πυροὶ	πυρός	noun	IX.110: πυροὶ καὶ κριθαὶ ἠδ' ἄμπελοι	пшеница
κριθαὶ	κριθή	noun	IX.110: πυροὶ καὶ κριθαὶ ἠδ' ἄμπελοι	ячмень
ἄμπελοι	ἄμπελος	noun	IX.110: πυροὶ καὶ κριθαὶ ἠδ' ἄμπελοι, αἵ τε φέρουσιν	виноградная лоза, виноград
ἐριστάφυλον	ἐριστάφυλος	adj	IX.111: οἶνον ἐριστάφυλον, καί σφιν Διὸς ὄμβρος	из хороших/обильных гроздей
σφιν	σφεῖς	pronoun	IX.111: καί σφιν Διὸς ὄμβρος ἀέξει	они (дат. п.)
ὄμβρος	ὄμβρος	noun	IX.111: καί σφιν Διὸς ὄμβρος ἀέξει	дождь
ἀέξει	ἀέξω	verb	IX.111: καί σφιν Διὸς ὄμβρος ἀέξει	преумножать
τοῖσιν	ὁ	pronoun	IX.112: τοῖσιν δ' οὔτ' ἀγοραὶ βουληφόροι	у них (дат. п. мн. ч.)
ἀγοραὶ	ἀγορά	noun	IX.112: τοῖσιν δ' οὔτ' ἀγοραὶ βουληφόροι οὔτε θέμιστες	собрание; рынок
βουληφόροι	βουληφόρος	adj	IX.112: οὔτ' ἀγοραὶ βουληφόροι οὔτε θέμιστες	совещательный
θέμιστες	θέμις	noun	IX.112: ἀγοραὶ βουληφόροι οὔτε θέμιστες	уклад, уложение, закон
