Word	Translation
ἐστι(ν)	(он, она, оно) есть (3sg. глагола «быть»)
αἴρω	поднимать (tollere)
ἐπαίρει ἑαυτόν	он поднимается
ἀποκρίνομαι	отвечать (respondere)
βαδίζω	идти (ire)
γεωργέω	заниматься земледелием (agrum colere)
γίγνομαι	становиться; происходить (fieri)
ἐρωτῶ	спрашивать (interrogare)
ἡσυχάζω	отдыхать (requiescere)
καθίζω	садиться (sedēre)
κάμνω	уставать (defatigari)
κατα-δύνω	заходить (о солнце) (occidere)
κατα-τρίβω	изнурять (excruciare)
λέγω	говорить (dicere)
λύω	отвязывать, распускать (solvere)
οἰκέω	жить, обитать (habitare)
παρ-έχω	давать, предоставлять (praebēre)
πονέω	трудиться (laborare)
σκάπτω	копать (effodere)
στενάζω	стонать (gemere)
φέρω	нести (ferre)
φιλέω	любить (amare)
φλέγω	жечь (urere)
χαίρω	радоваться (gaudēre)
