Word	Translation
τύπτω	бить (pulsare)
ἄγω	вести (agere)
ἀκολουθέω	следовать за кем, чем (sequi)
ἅπτω	завязывать, привязывать
ἀροτρεύω	пахать (arare)
βαίνω	идти (ire)
βλέπω	смотреть (vidēre)
ἐλαύνω	гнать (agere)
ἕλκω	тащить, влечь (trahere)
καθεύδω	спать (dormire)
καλέω	звать (vocare)
κεντέω	колоть, жалить
λαμβάνω	брать (capere)
μένω	оставаться на месте; ждать (manēre)
πληθύνω	умножать, преумножать (augēre)
ποιέω	делать (facere)
σπεύδω	спешить, торопиться (festinare)
συλλαμβάνω	помогать (adiuvare)
